Epoch:0	SE:2.8823094367980957
Epoch:1	SE:1.2121186256408691
Epoch:2	SE:1.138801097869873
Epoch:3	SE:1.122315526008606
Epoch:4	SE:1.105658769607544
Epoch:5	SE:1.0865379571914673
Epoch:6	SE:1.0635507106781006
Epoch:7	SE:1.0353598594665527
Epoch:8	SE:0.9998778700828552
Epoch:9	SE:0.9536362886428833
Epoch:10	SE:0.8913047313690186
Epoch:11	SE:0.816595196723938
Epoch:12	SE:0.7449155449867249
Epoch:13	SE:0.6795841455459595
Epoch:14	SE:0.6190260052680969
Epoch:15	SE:0.5596975088119507
Epoch:16	SE:0.5008159875869751
Epoch:17	SE:0.4431802034378052
Epoch:18	SE:0.38778528571128845
Epoch:19	SE:0.3363860845565796
