Epoch:0	SE:2.4005277156829834
Epoch:1	SE:1.4631506204605103
Epoch:2	SE:1.1472859382629395
Epoch:3	SE:1.1279337406158447
Epoch:4	SE:1.112361192703247
Epoch:5	SE:1.0960379838943481
Epoch:6	SE:1.0772814750671387
Epoch:7	SE:1.05450439453125
Epoch:8	SE:1.025864601135254
Epoch:9	SE:0.9895574450492859
Epoch:10	SE:0.9453169703483582
Epoch:11	SE:0.8963961005210876
Epoch:12	SE:0.848060131072998
Epoch:13	SE:0.8022833466529846
Epoch:14	SE:0.7562147378921509
Epoch:15	SE:0.704870343208313
Epoch:16	SE:0.6475513577461243
Epoch:17	SE:0.5881624817848206
Epoch:18	SE:0.5300326347351074
Epoch:19	SE:0.4752896726131439
