Epoch:0	SE:1.4084914922714233
Epoch:1	SE:1.1264880895614624
Epoch:2	SE:1.0674575567245483
Epoch:3	SE:0.9969654679298401
Epoch:4	SE:0.905972421169281
Epoch:5	SE:0.7973800897598267
Epoch:6	SE:0.7005425095558167
Epoch:7	SE:0.6306447386741638
Epoch:8	SE:0.5720276832580566
Epoch:9	SE:0.510078489780426
Epoch:10	SE:0.433086097240448
Epoch:11	SE:0.34412312507629395
Epoch:12	SE:0.25599658489227295
Epoch:13	SE:0.1949819177389145
Epoch:14	SE:0.21184799075126648
Epoch:15	SE:0.268231600522995
Epoch:16	SE:0.30446332693099976
Epoch:17	SE:0.191568523645401
Epoch:18	SE:0.1439429521560669
Epoch:19	SE:0.16302983462810516
