Epoch:0	SE:2.347877025604248
Epoch:1	SE:1.3618481159210205
Epoch:2	SE:1.2677860260009766
Epoch:3	SE:1.253822922706604
Epoch:4	SE:1.2451872825622559
Epoch:5	SE:1.2389607429504395
Epoch:6	SE:1.2338287830352783
Epoch:7	SE:1.2291369438171387
Epoch:8	SE:1.2245324850082397
Epoch:9	SE:1.2197997570037842
Epoch:10	SE:1.2151528596878052
Epoch:11	SE:1.2115613222122192
Epoch:12	SE:1.2079304456710815
Epoch:13	SE:1.20417320728302
Epoch:14	SE:1.2002594470977783
Epoch:15	SE:1.196151614189148
Epoch:16	SE:1.1918164491653442
Epoch:17	SE:1.1872150897979736
Epoch:18	SE:1.1823065280914307
Epoch:19	SE:1.177055835723877
Epoch:20	SE:1.1724257469177246
Epoch:21	SE:1.1706234216690063
Epoch:22	SE:1.1688735485076904
Epoch:23	SE:1.1671024560928345
Epoch:24	SE:1.1653027534484863
Epoch:25	SE:1.1634695529937744
Epoch:26	SE:1.1616019010543823
Epoch:27	SE:1.1596983671188354
Epoch:28	SE:1.1577550172805786
Epoch:29	SE:1.1557732820510864
Epoch:30	SE:1.1539579629898071
Epoch:31	SE:1.1524951457977295
Epoch:32	SE:1.1510145664215088
Epoch:33	SE:1.149514079093933
Epoch:34	SE:1.1479942798614502
Epoch:35	SE:1.1464520692825317
Epoch:36	SE:1.1448867321014404
Epoch:37	SE:1.143297553062439
Epoch:38	SE:1.1416831016540527
Epoch:39	SE:1.1400423049926758
