Epoch:0	SE:3.0083141326904297
Epoch:1	SE:1.4044013023376465
Epoch:2	SE:1.2734506130218506
Epoch:3	SE:1.256650447845459
Epoch:4	SE:1.2475982904434204
Epoch:5	SE:1.2408403158187866
Epoch:6	SE:1.2350071668624878
Epoch:7	SE:1.2295867204666138
Epoch:8	SE:1.224320650100708
Epoch:9	SE:1.2190425395965576
Epoch:10	SE:1.213891625404358
Epoch:11	SE:1.210108757019043
Epoch:12	SE:1.206339955329895
Epoch:13	SE:1.2025080919265747
Epoch:14	SE:1.1985830068588257
Epoch:15	SE:1.1945315599441528
Epoch:16	SE:1.1903209686279297
Epoch:17	SE:1.1859296560287476
Epoch:18	SE:1.181342363357544
Epoch:19	SE:1.176531434059143
Epoch:20	SE:1.1721323728561401
Epoch:21	SE:1.1705650091171265
Epoch:22	SE:1.1690055131912231
Epoch:23	SE:1.1674302816390991
Epoch:24	SE:1.1658358573913574
Epoch:25	SE:1.1642171144485474
Epoch:26	SE:1.162575125694275
Epoch:27	SE:1.1609063148498535
Epoch:28	SE:1.1592113971710205
Epoch:29	SE:1.1574888229370117
Epoch:30	SE:1.1558594703674316
Epoch:31	SE:1.1545343399047852
Epoch:32	SE:1.1531975269317627
Epoch:33	SE:1.1518464088439941
Epoch:34	SE:1.1504795551300049
Epoch:35	SE:1.1490978002548218
Epoch:36	SE:1.147699236869812
Epoch:37	SE:1.1462830305099487
Epoch:38	SE:1.1448488235473633
Epoch:39	SE:1.143395185470581
