Epoch:0	SE:2.3607749938964844
Epoch:1	SE:2.2005765438079834
Epoch:2	SE:1.6052417755126953
Epoch:3	SE:1.0652801990509033
Epoch:4	SE:1.0338373184204102
Epoch:5	SE:1.0165776014328003
Epoch:6	SE:1.0068843364715576
Epoch:7	SE:1.0001232624053955
Epoch:8	SE:0.994638979434967
Epoch:9	SE:0.989845871925354
Epoch:10	SE:0.9855899810791016
Epoch:11	SE:0.9824502468109131
Epoch:12	SE:0.9795444011688232
Epoch:13	SE:0.9767911434173584
Epoch:14	SE:0.9741460680961609
Epoch:15	SE:0.9715821146965027
Epoch:16	SE:0.9690753221511841
Epoch:17	SE:0.9666112065315247
Epoch:18	SE:0.9641756415367126
Epoch:19	SE:0.9617583751678467
Epoch:20	SE:0.959666907787323
Epoch:21	SE:0.9589255452156067
Epoch:22	SE:0.9581896662712097
Epoch:23	SE:0.9574539065361023
Epoch:24	SE:0.9567180275917053
Epoch:25	SE:0.9559804797172546
Epoch:26	SE:0.955241322517395
Epoch:27	SE:0.9545000791549683
Epoch:28	SE:0.9537580013275146
Epoch:29	SE:0.9530143737792969
Epoch:30	SE:0.9522863030433655
Epoch:31	SE:0.9516793489456177
Epoch:32	SE:0.9510735869407654
Epoch:33	SE:0.9504697918891907
Epoch:34	SE:0.9498671293258667
Epoch:35	SE:0.949265718460083
Epoch:36	SE:0.9486649632453918
Epoch:37	SE:0.9480664730072021
Epoch:38	SE:0.9474679231643677
Epoch:39	SE:0.9468701481819153
