Epoch:0	SE:2.6451663970947266
Epoch:1	SE:1.3121260404586792
Epoch:2	SE:1.272740125656128
Epoch:3	SE:1.2580598592758179
Epoch:4	SE:1.2506893873214722
Epoch:5	SE:1.2441787719726562
Epoch:6	SE:1.2407156229019165
Epoch:7	SE:1.2378398180007935
Epoch:8	SE:1.2334681749343872
Epoch:9	SE:1.2262405157089233
Epoch:10	SE:1.2244678735733032
Epoch:11	SE:1.2214926481246948
Epoch:12	SE:1.2166513204574585
Epoch:13	SE:1.2155108451843262
Epoch:14	SE:1.2117034196853638
Epoch:15	SE:1.2082648277282715
Epoch:16	SE:1.2036213874816895
Epoch:17	SE:1.1999444961547852
Epoch:18	SE:1.1960045099258423
Epoch:19	SE:1.1907047033309937
Epoch:20	SE:1.1871192455291748
Epoch:21	SE:1.1871927976608276
Epoch:22	SE:1.1842987537384033
Epoch:23	SE:1.1818639039993286
Epoch:24	SE:1.1804152727127075
Epoch:25	SE:1.1807276010513306
Epoch:26	SE:1.1763068437576294
Epoch:27	SE:1.176769733428955
Epoch:28	SE:1.175797700881958
Epoch:29	SE:1.174076795578003
Epoch:30	SE:1.1733059883117676
Epoch:31	SE:1.170343279838562
Epoch:32	SE:1.168036699295044
Epoch:33	SE:1.166916012763977
Epoch:34	SE:1.1653480529785156
Epoch:35	SE:1.1628990173339844
Epoch:36	SE:1.159787654876709
Epoch:37	SE:1.1603353023529053
Epoch:38	SE:1.1603715419769287
Epoch:39	SE:1.1575795412063599
Epoch:40	SE:1.1527318954467773
Epoch:41	SE:1.1528823375701904
Epoch:42	SE:1.1508880853652954
Epoch:43	SE:1.153075098991394
Epoch:44	SE:1.1507136821746826
Epoch:45	SE:1.1525088548660278
Epoch:46	SE:1.149698257446289
Epoch:47	SE:1.1510332822799683
Epoch:48	SE:1.150424838066101
Epoch:49	SE:1.1498830318450928
