Epoch:0	SE:2.2115724086761475
Epoch:1	SE:1.2773040533065796
Epoch:2	SE:1.2545806169509888
Epoch:3	SE:1.247799038887024
Epoch:4	SE:1.2404556274414062
Epoch:5	SE:1.2348363399505615
Epoch:6	SE:1.2281880378723145
Epoch:7	SE:1.2226828336715698
Epoch:8	SE:1.2168227434158325
Epoch:9	SE:1.2105317115783691
Epoch:10	SE:1.2027887105941772
Epoch:11	SE:1.1975346803665161
Epoch:12	SE:1.1920580863952637
Epoch:13	SE:1.18795645236969
Epoch:14	SE:1.180179476737976
Epoch:15	SE:1.17173433303833
Epoch:16	SE:1.1644470691680908
Epoch:17	SE:1.15711510181427
Epoch:18	SE:1.1452652215957642
Epoch:19	SE:1.1336020231246948
Epoch:20	SE:1.1248304843902588
Epoch:21	SE:1.1181905269622803
Epoch:22	SE:1.1151084899902344
Epoch:23	SE:1.1104286909103394
Epoch:24	SE:1.1063038110733032
Epoch:25	SE:1.1024887561798096
Epoch:26	SE:1.0954879522323608
Epoch:27	SE:1.0905882120132446
Epoch:28	SE:1.0831793546676636
Epoch:29	SE:1.0791609287261963
Epoch:30	SE:1.076506495475769
Epoch:31	SE:1.0711264610290527
Epoch:32	SE:1.0694721937179565
Epoch:33	SE:1.0652391910552979
Epoch:34	SE:1.061951994895935
Epoch:35	SE:1.0575451850891113
Epoch:36	SE:1.0548574924468994
Epoch:37	SE:1.0499558448791504
Epoch:38	SE:1.0479239225387573
Epoch:39	SE:1.04552161693573
Epoch:40	SE:1.0388751029968262
Epoch:41	SE:1.0372408628463745
Epoch:42	SE:1.0379351377487183
Epoch:43	SE:1.0352083444595337
Epoch:44	SE:1.036458969116211
Epoch:45	SE:1.0346529483795166
Epoch:46	SE:1.0336939096450806
Epoch:47	SE:1.0324230194091797
Epoch:48	SE:1.0311561822891235
Epoch:49	SE:1.0299689769744873
