Epoch:0	SE:1.444560170173645
Epoch:1	SE:1.235037088394165
Epoch:2	SE:1.221150279045105
Epoch:3	SE:1.2056300640106201
Epoch:4	SE:1.1882601976394653
Epoch:5	SE:1.1714946031570435
Epoch:6	SE:1.1573212146759033
Epoch:7	SE:1.1445494890213013
Epoch:8	SE:1.1324268579483032
Epoch:9	SE:1.1205140352249146
Epoch:10	SE:1.108575463294983
Epoch:11	SE:1.0962255001068115
Epoch:12	SE:1.0824023485183716
Epoch:13	SE:1.0653365850448608
Epoch:14	SE:1.0417630672454834
Epoch:15	SE:1.0060746669769287
Epoch:16	SE:0.9486284852027893
Epoch:17	SE:0.859438419342041
Epoch:18	SE:0.7442774772644043
Epoch:19	SE:0.6758890151977539
Epoch:20	SE:0.5090324282646179
Epoch:21	SE:0.38658997416496277
Epoch:22	SE:0.32139280438423157
Epoch:23	SE:0.27390730381011963
Epoch:24	SE:0.23863089084625244
Epoch:25	SE:0.23473580181598663
Epoch:26	SE:0.32582327723503113
Epoch:27	SE:0.3889547288417816
Epoch:28	SE:0.34973183274269104
Epoch:29	SE:0.3247984051704407
