Epoch:0	SE:2.121936559677124
Epoch:1	SE:1.2616925239562988
Epoch:2	SE:1.2476577758789062
Epoch:3	SE:1.2408286333084106
Epoch:4	SE:1.236190676689148
Epoch:5	SE:1.2325223684310913
Epoch:6	SE:1.2293760776519775
Epoch:7	SE:1.2265567779541016
Epoch:8	SE:1.2239408493041992
Epoch:9	SE:1.2214527130126953
Epoch:10	SE:1.2190489768981934
Epoch:11	SE:1.2166895866394043
Epoch:12	SE:1.2143558263778687
Epoch:13	SE:1.2120299339294434
Epoch:14	SE:1.2096772193908691
Epoch:15	SE:1.2072862386703491
Epoch:16	SE:1.2048143148422241
Epoch:17	SE:1.2022455930709839
Epoch:18	SE:1.1995701789855957
Epoch:19	SE:1.1967874765396118
