Epoch:0	SE:1.253321886062622
Epoch:1	SE:1.1948213577270508
Epoch:2	SE:1.1830837726593018
Epoch:3	SE:1.1679596900939941
Epoch:4	SE:1.1530628204345703
Epoch:5	SE:1.140616536140442
Epoch:6	SE:1.1303304433822632
Epoch:7	SE:1.12156343460083
Epoch:8	SE:1.1136736869812012
Epoch:9	SE:1.1060949563980103
Epoch:10	SE:1.097424030303955
Epoch:11	SE:1.0893418788909912
Epoch:12	SE:1.0811562538146973
Epoch:13	SE:1.072455883026123
Epoch:14	SE:1.064846158027649
Epoch:15	SE:1.0563446283340454
Epoch:16	SE:1.0483994483947754
Epoch:17	SE:1.0399233102798462
Epoch:18	SE:1.0321054458618164
Epoch:19	SE:1.024160385131836
