Epoch:0	SE:1.2742661237716675
Epoch:1	SE:1.2279975414276123
Epoch:2	SE:1.2088990211486816
Epoch:3	SE:1.1847172975540161
Epoch:4	SE:1.164374828338623
Epoch:5	SE:1.148338794708252
Epoch:6	SE:1.1337157487869263
Epoch:7	SE:1.1196320056915283
Epoch:8	SE:1.1056907176971436
Epoch:9	SE:1.0939605236053467
Epoch:10	SE:1.0815620422363281
Epoch:11	SE:1.0694994926452637
Epoch:12	SE:1.058467984199524
Epoch:13	SE:1.047688364982605
Epoch:14	SE:1.036858320236206
Epoch:15	SE:1.0253974199295044
Epoch:16	SE:1.0125573873519897
Epoch:17	SE:0.9974977970123291
Epoch:18	SE:0.9829457402229309
Epoch:19	SE:0.9644865989685059
