Epoch:0	SE:8.092346394296104
Epoch:1	SE:3.2915195996660866
Epoch:2	SE:3.029395132519616
Epoch:3	SE:2.939536576949914
Epoch:4	SE:2.8636570893086835
Epoch:5	SE:2.7788587099906956
Epoch:6	SE:2.7296108049939702
Epoch:7	SE:2.7228323820055502
Epoch:8	SE:2.667031043602662
Epoch:9	SE:2.596452276355941
Epoch:10	SE:2.573780395141738
Epoch:11	SE:2.5877498332957765
Epoch:12	SE:2.55055328452026
Epoch:13	SE:2.478280581450731
Epoch:14	SE:2.439287807609383
Epoch:15	SE:2.4000852709798277
Epoch:16	SE:2.3822258410381516
Epoch:17	SE:2.3372854691249847
Epoch:18	SE:2.3140294624317304
Epoch:19	SE:2.383224385259255
Epoch:20	SE:2.2914716514076163
Epoch:21	SE:2.2990568752832683
Epoch:22	SE:2.298155316104236
Epoch:23	SE:2.262623022284524
Epoch:24	SE:2.232645988726391
Epoch:25	SE:2.1937528938129818
Epoch:26	SE:2.1803852044425396
Epoch:27	SE:2.16474051581355
Epoch:28	SE:2.1330514286994697
Epoch:29	SE:2.119866386432172
Epoch:30	SE:2.1186447982128875
Epoch:31	SE:2.125770258762701
Epoch:32	SE:2.1477547676613264
Epoch:33	SE:2.22967291881869
Epoch:34	SE:2.3500495371526466
Epoch:35	SE:2.261099486775818
Epoch:36	SE:2.3054693321196775
Epoch:37	SE:2.3584100317677557
Epoch:38	SE:2.2705189955971403
Epoch:39	SE:2.194849432748082
Epoch:40	SE:2.223520859806217
Epoch:41	SE:2.3394351784407497
Epoch:42	SE:2.3913504171331903
Epoch:43	SE:2.409379477998891
Epoch:44	SE:2.355373426917545
Epoch:45	SE:2.2486832455335786
Epoch:46	SE:2.2435047482812824
Epoch:47	SE:2.238062580297943
Epoch:48	SE:2.249765115848788
Epoch:49	SE:2.2436551211188624
Epoch:50	SE:2.22939146079233
Epoch:51	SE:2.232117692247796
Epoch:52	SE:2.2260647481648776
Epoch:53	SE:2.2342189457838106
Epoch:54	SE:2.2130728657962524
Epoch:55	SE:2.2040291447987
Epoch:56	SE:2.2340992089324296
Epoch:57	SE:2.228435834936083
Epoch:58	SE:2.2426873331552626
Epoch:59	SE:2.225142729093962
Epoch:60	SE:2.270312008872751
Epoch:61	SE:2.2692322424682385
Epoch:62	SE:2.344555248555791
Epoch:63	SE:2.4323257684648842
Epoch:64	SE:2.452863985007369
Epoch:65	SE:2.3681723647100803
Epoch:66	SE:2.360998063527537
Epoch:67	SE:2.4340405526397446
Epoch:68	SE:2.4499904488385043
Epoch:69	SE:2.4501832142470192
Epoch:70	SE:2.39399278075047
Epoch:71	SE:2.462513869594434
Epoch:72	SE:2.513523257805936
Epoch:73	SE:2.4472212498380492
Epoch:74	SE:2.475570753606917
Epoch:75	SE:2.490237401153817
Epoch:76	SE:2.4821586185717734
Epoch:77	SE:2.4882524991085355
Epoch:78	SE:2.4349305103658
Epoch:79	SE:2.451786017357635
