Epoch:0	SE:8.074119573550096
Epoch:1	SE:3.277733470350388
Epoch:2	SE:3.010413889146041
Epoch:3	SE:2.929605670572445
Epoch:4	SE:2.854997103220749
Epoch:5	SE:2.77034508946965
Epoch:6	SE:2.714692785266089
Epoch:7	SE:2.710773965339643
Epoch:8	SE:2.644829749647138
Epoch:9	SE:2.5885308981854505
Epoch:10	SE:2.5806360667287414
Epoch:11	SE:2.4850874536766585
Epoch:12	SE:2.4315757618116844
Epoch:13	SE:2.453507013172007
Epoch:14	SE:2.492754675104515
Epoch:15	SE:2.3894953420241882
Epoch:16	SE:2.330784659740194
Epoch:17	SE:2.293579483927946
Epoch:18	SE:2.2494996263847957
Epoch:19	SE:2.2088952903526615
Epoch:20	SE:2.3221784793129614
Epoch:21	SE:2.2202837452952844
Epoch:22	SE:2.1751683139640616
Epoch:23	SE:2.146524403143352
Epoch:24	SE:2.1180001196205818
Epoch:25	SE:2.0918321469742387
Epoch:26	SE:2.067423959488696
Epoch:27	SE:2.0450067889336507
Epoch:28	SE:2.0212507663265593
Epoch:29	SE:2.001117582947178
Epoch:30	SE:1.9888862145469166
Epoch:31	SE:1.9762264603354311
Epoch:32	SE:1.9697939110260032
Epoch:33	SE:1.952296424192483
Epoch:34	SE:1.9411073408172101
Epoch:35	SE:1.9344163014979587
Epoch:36	SE:1.9261261402078265
Epoch:37	SE:1.9172372093338632
Epoch:38	SE:1.9107105864400904
Epoch:39	SE:1.9110337538034217
