
Epoch:0	HANN(SE):1.6264528036117554	NNL:7.317033019527316	
Epoch:1	HANN(SE):1.5845451354980469	NNL:5.477217995428267	
Epoch:2	HANN(SE):1.5435869693756104	NNL:5.312930735926476	
Epoch:3	HANN(SE):1.4924733638763428	NNL:5.250670321064611	
Epoch:4	HANN(SE):1.4694995880126953	NNL:5.176637351743637	
Epoch:5	HANN(SE):1.3650201559066772	NNL:5.077888429703256	
Epoch:6	HANN(SE):1.3069274425506592	NNL:4.963650662822109	
Epoch:7	HANN(SE):1.2521936893463135	NNL:4.847946531234252	
Epoch:8	HANN(SE):1.1669849157333374	NNL:4.725143639349167	
Epoch:9	HANN(SE):1.1081651449203491	NNL:4.574944679506362	
Epoch:10	HANN(SE):1.0464853048324585	NNL:4.455426305955454	
Epoch:11	HANN(SE):1.0154353380203247	NNL:4.33055453023603	
Epoch:12	HANN(SE):1.0138205289840698	NNL:4.214448288948302	
Epoch:13	HANN(SE):1.0045963525772095	NNL:4.121953990074894	
Epoch:14	HANN(SE):1.0163668394088745	NNL:4.0332836729480395	
Epoch:15	HANN(SE):0.9948921203613281	NNL:3.9512993326494756	
Epoch:16	HANN(SE):0.9613863825798035	NNL:3.8721458238171	
Epoch:17	HANN(SE):1.003702163696289	NNL:3.803588074714905	
Epoch:18	HANN(SE):0.9758639335632324	NNL:3.7403750844155574	
Epoch:19	HANN(SE):0.9813086986541748	NNL:3.6801383196923045	
Epoch:20	HANN(SE):0.9698358774185181	NNL:3.6339657026721595	
Epoch:21	HANN(SE):0.9598727822303772	NNL:3.5945891854070857	
Epoch:22	HANN(SE):0.9541804194450378	NNL:3.5606497389270415	
Epoch:23	HANN(SE):0.9300830364227295	NNL:3.526974109526602	
Epoch:24	HANN(SE):0.9592040777206421	NNL:3.499148627250425	
Epoch:25	HANN(SE):0.934291660785675	NNL:3.469721742445423	
Epoch:26	HANN(SE):0.9402307868003845	NNL:3.4382411513789966	
Epoch:27	HANN(SE):0.956705629825592	NNL:3.412754896840742	
Epoch:28	HANN(SE):0.9687821865081787	NNL:3.386199364200715	
Epoch:29	HANN(SE):0.9739910960197449	NNL:3.3598204889605143	
Epoch:30	HANN(SE):0.92402184009552	NNL:3.3421563277706023	
Epoch:31	HANN(SE):0.9413018822669983	NNL:3.3258456716229863	
Epoch:32	HANN(SE):0.9567590355873108	NNL:3.3068398174162836	
Epoch:33	HANN(SE):0.9391077756881714	NNL:3.2920951006489414	
Epoch:34	HANN(SE):0.910184383392334	NNL:3.2832135563511997	
Epoch:35	HANN(SE):0.9522611498832703	NNL:3.2650167563653785	
Epoch:36	HANN(SE):0.9487248659133911	NNL:3.2543077444261126	
Epoch:37	HANN(SE):0.9090129733085632	NNL:3.241084016369235	
Epoch:38	HANN(SE):0.9704917669296265	NNL:3.228350773472941	
Epoch:39	HANN(SE):0.939339280128479	NNL:3.21352835993613	
Epoch:40	HANN(SE):0.9537395238876343	NNL:3.2171814604728457	
Epoch:41	HANN(SE):0.9677223563194275	NNL:3.2292757821852174	
Epoch:42	HANN(SE):0.9511218667030334	NNL:3.2734816483528384	
Epoch:43	HANN(SE):0.9190328121185303	NNL:3.2500355874338447	
Epoch:44	HANN(SE):0.9498763084411621	NNL:3.2272779120168353	
Epoch:45	HANN(SE):0.998193085193634	NNL:3.223373301106115	
Epoch:46	HANN(SE):0.9775409698486328	NNL:3.2092214658183433	
Epoch:47	HANN(SE):0.9406446814537048	NNL:3.207427625348491	
Epoch:48	HANN(SE):0.9542057514190674	NNL:3.194136203642815	
Epoch:49	HANN(SE):0.9679495096206665	NNL:3.190373044167794	
Epoch:50	HANN(SE):0.9394921660423279	NNL:3.18892109040291	
Epoch:51	HANN(SE):0.9385818839073181	NNL:3.1961282926990155	
Epoch:52	HANN(SE):0.9522797465324402	NNL:3.1697594611875473	
Epoch:53	HANN(SE):0.9574699997901917	NNL:3.1826266553325038	
Epoch:54	HANN(SE):0.9293729066848755	NNL:3.168615608215332	
Epoch:55	HANN(SE):0.9681665301322937	NNL:3.1760434279903276	
Epoch:56	HANN(SE):0.9593316912651062	NNL:3.1634278968072698	
Epoch:57	HANN(SE):0.979257345199585	NNL:3.161344289472027	
Epoch:58	HANN(SE):0.9362310767173767	NNL:3.163402231277959	
Epoch:59	HANN(SE):0.9363710284233093	NNL:3.155077497420773	
