
Epoch:0	HANN(SE):1.6512762308120728	NNL:7.290484601912965	
Epoch:1	HANN(SE):1.6341127157211304	NNL:5.733046611662835	
Epoch:2	HANN(SE):1.668697476387024	NNL:5.640664094494234	
Epoch:3	HANN(SE):1.635225772857666	NNL:5.682094601046654	
Epoch:4	HANN(SE):1.650660514831543	NNL:5.773361540763611	
Epoch:5	HANN(SE):1.643020749092102	NNL:5.962861000799365	
Epoch:6	HANN(SE):1.6334552764892578	NNL:6.083188875259894	
Epoch:7	HANN(SE):1.6334168910980225	NNL:6.262028308991465	
Epoch:8	HANN(SE):1.6290675401687622	NNL:6.35715339414535	
Epoch:9	HANN(SE):1.6334517002105713	NNL:6.626825352330364	
Epoch:10	HANN(SE):1.6753463745117188	NNL:6.4309129530383675	
Epoch:11	HANN(SE):1.6804931163787842	NNL:7.0263885005827875	
Epoch:12	HANN(SE):1.7009975910186768	NNL:6.747885496077994	
Epoch:13	HANN(SE):1.6443006992340088	NNL:6.986669259840443	
Epoch:14	HANN(SE):1.643117070198059	NNL:7.018716849050212	
Epoch:15	HANN(SE):1.6330463886260986	NNL:7.624403120471584	
Epoch:16	HANN(SE):1.622406244277954	NNL:7.25491331285046	
Epoch:17	HANN(SE):1.6481198072433472	NNL:6.826358430923956	
Epoch:18	HANN(SE):1.6497864723205566	NNL:7.807240959905805	
Epoch:19	HANN(SE):1.6378129720687866	NNL:7.852348357169859	
Epoch:20	HANN(SE):1.6532490253448486	NNL:7.478980368337325	
Epoch:21	HANN(SE):1.6391383409500122	NNL:7.828809784919993	
Epoch:22	HANN(SE):1.6443419456481934	NNL:7.788794917445034	
Epoch:23	HANN(SE):1.6297956705093384	NNL:7.529955673217773	
Epoch:24	HANN(SE):1.653621792793274	NNL:7.681620136384042	
Epoch:25	HANN(SE):1.6522789001464844	NNL:7.873696997857868	
Epoch:26	HANN(SE):1.6342556476593018	NNL:8.109258644350115	
Epoch:27	HANN(SE):1.6196545362472534	NNL:8.075320451797984	
Epoch:28	HANN(SE):1.6184334754943848	NNL:8.135695997668849	
Epoch:29	HANN(SE):1.658957600593567	NNL:8.356132140621064	
Epoch:30	HANN(SE):1.625030517578125	NNL:8.384350290606099	
Epoch:31	HANN(SE):1.6597685813903809	NNL:8.055189775036226	
Epoch:32	HANN(SE):1.6368402242660522	NNL:8.171023616175496	
Epoch:33	HANN(SE):1.647463083267212	NNL:8.507779954479588	
Epoch:34	HANN(SE):1.6510038375854492	NNL:8.724713297197889	
Epoch:35	HANN(SE):1.657202124595642	NNL:8.700458612749651	
Epoch:36	HANN(SE):1.6623541116714478	NNL:8.401037742860852	
Epoch:37	HANN(SE):1.6203473806381226	NNL:8.828617044264268	
Epoch:38	HANN(SE):1.6459497213363647	NNL:8.604469186106037	
Epoch:39	HANN(SE):1.6131587028503418	NNL:8.863846093454674	
Epoch:40	HANN(SE):1.6597084999084473	NNL:9.092885139219224	
Epoch:41	HANN(SE):1.638161540031433	NNL:8.823396453857425	
Epoch:42	HANN(SE):1.6136008501052856	NNL:8.84977164729949	
