
Epoch:0	HANN(SE):1.4612025022506714	NNL:7.229282142885265	
Epoch:1	HANN(SE):1.1468627452850342	NNL:5.469748828026557	
Epoch:2	HANN(SE):1.0726207494735718	NNL:5.331784660585466	
Epoch:3	HANN(SE):0.9026823043823242	NNL:5.2495815104822965	
Epoch:4	HANN(SE):0.6463491916656494	NNL:5.15852701248661	
Epoch:5	HANN(SE):0.3954581618309021	NNL:5.046846702329574	
Epoch:6	HANN(SE):0.215469092130661	NNL:4.916940118112871	
Epoch:7	HANN(SE):0.13097843527793884	NNL:4.7854265865202885	
Epoch:8	HANN(SE):0.13739244639873505	NNL:4.658568614836663	
Epoch:9	HANN(SE):0.12809932231903076	NNL:4.522680750200827	
Epoch:10	HANN(SE):0.0848381519317627	NNL:4.393081229425248	
Epoch:11	HANN(SE):0.04951302334666252	NNL:4.262967830781015	
Epoch:12	HANN(SE):0.03421779349446297	NNL:4.14080366565335	
Epoch:13	HANN(SE):0.027891287580132484	NNL:4.026481366311348	
Epoch:14	HANN(SE):0.02322782389819622	NNL:3.9190700801726304	
Epoch:15	HANN(SE):0.0191805362701416	NNL:3.8222899639991037	
Epoch:16	HANN(SE):0.017657848075032234	NNL:3.7308022714430265	
Epoch:17	HANN(SE):0.0152669046074152	NNL:3.6474944748417015	
Epoch:18	HANN(SE):0.014586731791496277	NNL:3.575497274091168	
Epoch:19	HANN(SE):0.01715194247663021	NNL:3.5106902165566733	
Epoch:20	HANN(SE):0.030303508043289185	NNL:3.4555543382706158	
Epoch:21	HANN(SE):0.023701800033450127	NNL:3.40832904692619	
Epoch:22	HANN(SE):0.01748807355761528	NNL:3.3696109685590163	
Epoch:23	HANN(SE):0.01555496547371149	NNL:3.3214799216485784	
Epoch:24	HANN(SE):0.014269177801907063	NNL:3.296923385127896	
Epoch:25	HANN(SE):0.01280773151665926	NNL:3.254038773813556	
Epoch:26	HANN(SE):0.011616137810051441	NNL:3.2221455124885807	
Epoch:27	HANN(SE):0.010854623280465603	NNL:3.188422491012081	
Epoch:28	HANN(SE):0.010564770549535751	NNL:3.158330964119202	
Epoch:29	HANN(SE):0.009519003331661224	NNL:3.140971188699045	
Epoch:30	HANN(SE):0.01240350678563118	NNL:3.1064874095301476	
Epoch:31	HANN(SE):0.01265096664428711	NNL:3.0942490140853414	
Epoch:32	HANN(SE):0.01088866125792265	NNL:3.067851272090792	
Epoch:33	HANN(SE):0.009682707488536835	NNL:3.0452265142625383	
Epoch:34	HANN(SE):0.009853982366621494	NNL:3.0261963481287806	
Epoch:35	HANN(SE):0.010119477286934853	NNL:3.003137982276178	
Epoch:36	HANN(SE):0.009947184473276138	NNL:2.987901749149444	
Epoch:37	HANN(SE):0.009798637591302395	NNL:2.9609758955432515	
Epoch:38	HANN(SE):0.01006727758795023	NNL:2.948812773919875	
Epoch:39	HANN(SE):0.009876064024865627	NNL:2.9302810570501516	
Epoch:40	HANN(SE):0.011506140232086182	NNL:2.932357455838112	
Epoch:41	HANN(SE):0.013090679422020912	NNL:2.95263479048206	
Epoch:42	HANN(SE):0.017938077449798584	NNL:2.974403687753987	
Epoch:43	HANN(SE):0.011531407944858074	NNL:3.0035127922796425	
Epoch:44	HANN(SE):0.015596871264278889	NNL:2.9791918514620885	
Epoch:45	HANN(SE):0.013688134029507637	NNL:2.957825100806451	
Epoch:46	HANN(SE):0.010972561314702034	NNL:2.942933827061805	
Epoch:47	HANN(SE):0.011946985498070717	NNL:2.930097826065556	
Epoch:48	HANN(SE):0.01252792403101921	NNL:2.933545865704937	
Epoch:49	HANN(SE):0.011080488562583923	NNL:2.912789801320722	
Epoch:50	HANN(SE):0.010961580090224743	NNL:2.917568259700652	
Epoch:51	HANN(SE):0.011587593704462051	NNL:2.9137967620357377	
Epoch:52	HANN(SE):0.011572902090847492	NNL:2.9177274888561606	
Epoch:53	HANN(SE):0.012207793071866035	NNL:2.900640034829416	
Epoch:54	HANN(SE):0.01136755757033825	NNL:2.9124810827932053	
Epoch:55	HANN(SE):0.01259155385196209	NNL:2.915706640674222	
Epoch:56	HANN(SE):0.011886847205460072	NNL:2.929064166161321	
Epoch:57	HANN(SE):0.012958583422005177	NNL:2.9127621127713104	
Epoch:58	HANN(SE):0.01068931631743908	NNL:2.9053355949155755	
Epoch:59	HANN(SE):0.012121448293328285	NNL:2.893916515227285	
Epoch:60	HANN(SE):0.011403441429138184	NNL:2.8950861567835644	
Epoch:61	HANN(SE):0.012360849417746067	NNL:2.9180752514254658	
Epoch:62	HANN(SE):0.011408569291234016	NNL:2.9711194536762826	
Epoch:63	HANN(SE):0.011176662519574165	NNL:3.0120657151745207	
Epoch:64	HANN(SE):0.012601478025317192	NNL:3.0228155320690506	
Epoch:65	HANN(SE):0.014972936362028122	NNL:3.0799317759852287	
Epoch:66	HANN(SE):0.013071492314338684	NNL:3.039561487013294	
Epoch:67	HANN(SE):0.013344969600439072	NNL:3.054810701185657	
Epoch:68	HANN(SE):0.012971601448953152	NNL:3.0646370906214573	
Epoch:69	HANN(SE):0.01178639754652977	NNL:3.0236381739954776	
Epoch:70	HANN(SE):0.012444390915334225	NNL:3.0267105188677412	
Epoch:71	HANN(SE):0.013118215836584568	NNL:3.0292433732555777	
Epoch:72	HANN(SE):0.012679006904363632	NNL:3.044563021506031	
Epoch:73	HANN(SE):0.012007846496999264	NNL:2.9994589836366727	
Epoch:74	HANN(SE):0.01222112774848938	NNL:3.0276601372995695	
Epoch:75	HANN(SE):0.011796863749623299	NNL:3.0235202592419035	
Epoch:76	HANN(SE):0.012935731559991837	NNL:3.016136287566154	
Epoch:77	HANN(SE):0.012479977682232857	NNL:3.014194078753071	
Epoch:78	HANN(SE):0.012601044960319996	NNL:3.033345808213755	
Epoch:79	HANN(SE):0.012189346365630627	NNL:3.027740553579021	
