Epoch:0	HANN(SE):1.6183931827545166	NNL:6.524113602176788
Epoch:1	HANN(SE):1.6011263132095337	NNL:5.462058053785753
Epoch:2	HANN(SE):1.5699725151062012	NNL:5.332827667728546
Epoch:3	HANN(SE):1.5125107765197754	NNL:5.113723804104708
Epoch:4	HANN(SE):1.5072294473648071	NNL:4.944867425733998
Epoch:5	HANN(SE):1.4537904262542725	NNL:4.8385580173615494
Epoch:6	HANN(SE):1.453022837638855	NNL:4.772084407191125
Epoch:7	HANN(SE):1.412285566329956	NNL:4.720121135096397
Epoch:8	HANN(SE):1.390329360961914	NNL:4.758790413641161
Epoch:9	HANN(SE):1.3152215480804443	NNL:4.757573439075101
Epoch:10	HANN(SE):1.2850946187973022	NNL:4.844136583881993
Epoch:11	HANN(SE):1.219384789466858	NNL:5.003350264026271
Epoch:12	HANN(SE):1.2976500988006592	NNL:5.094696731567382
Epoch:13	HANN(SE):1.2615201473236084	NNL:5.202972532703029
Epoch:14	HANN(SE):1.227553129196167	NNL:5.20551560924899
Epoch:15	HANN(SE):1.1911295652389526	NNL:5.24196808599657
