Epoch:0	HANN(SE):1.5743064880371094	NNL:8.273577767649007
Epoch:1	HANN(SE):1.5587208271026611	NNL:5.679069799607801
Epoch:2	HANN(SE):1.5046792030334473	NNL:5.376210189327116
Epoch:3	HANN(SE):1.427632451057434	NNL:5.295175094604492
Epoch:4	HANN(SE):1.3662294149398804	NNL:5.25466557656565
Epoch:5	HANN(SE):1.2969303131103516	NNL:5.214664038381269
Epoch:6	HANN(SE):1.2366095781326294	NNL:5.170986050021262
Epoch:7	HANN(SE):1.1039447784423828	NNL:5.12020449976767
Epoch:8	HANN(SE):1.0531630516052246	NNL:5.06163129991101
Epoch:9	HANN(SE):1.0464825630187988	NNL:4.995314025878905
Epoch:10	HANN(SE):0.9850484728813171	NNL:4.927895505351405
Epoch:11	HANN(SE):0.9645209908485413	NNL:4.852477439142038
Epoch:12	HANN(SE):0.9742029309272766	NNL:4.773270096317412
Epoch:13	HANN(SE):0.9583123326301575	NNL:4.693954959992439
Epoch:14	HANN(SE):0.9214656352996826	NNL:4.609604246077998
Epoch:15	HANN(SE):0.9695529937744141	NNL:4.529889304868638
Epoch:16	HANN(SE):1.0026564598083496	NNL:4.458218457621914
Epoch:17	HANN(SE):1.0544087886810303	NNL:4.388829610270841
Epoch:18	HANN(SE):0.9668278098106384	NNL:4.3020347226050575
Epoch:19	HANN(SE):0.9694917798042297	NNL:4.224971518977996
Epoch:20	HANN(SE):0.9583863615989685	NNL:4.171043220027797
Epoch:21	HANN(SE):1.0102766752243042	NNL:4.107645871562343
Epoch:22	HANN(SE):0.9737736582756042	NNL:4.049992743461364
Epoch:23	HANN(SE):0.9746647477149963	NNL:3.9926805926907427
Epoch:24	HANN(SE):0.916174054145813	NNL:3.937674495327857
Epoch:25	HANN(SE):0.9460139870643616	NNL:3.8839309520106173
Epoch:26	HANN(SE):0.9619475603103638	NNL:3.834789726503434
Epoch:27	HANN(SE):0.9473494291305542	NNL:3.787462188966811
Epoch:28	HANN(SE):0.9707466959953308	NNL:3.745251562057004
Epoch:29	HANN(SE):0.9173750281333923	NNL:3.7043557714646833
Epoch:30	HANN(SE):0.9571065902709961	NNL:3.668881808865456
Epoch:31	HANN(SE):0.9617531299591064	NNL:3.6346886985532705
Epoch:32	HANN(SE):0.9728783369064331	NNL:3.6028407324514085
Epoch:33	HANN(SE):0.9517404437065125	NNL:3.5725654860465745
Epoch:34	HANN(SE):0.9605414867401123	NNL:3.5414370801371904
Epoch:35	HANN(SE):0.9497417211532593	NNL:3.5144957253240796
Epoch:36	HANN(SE):0.9266496300697327	NNL:3.4879142675092156
Epoch:37	HANN(SE):0.9675748944282532	NNL:3.462318038940428
Epoch:38	HANN(SE):0.9757453203201294	NNL:3.4382931543165616
Epoch:39	HANN(SE):0.9342072606086731	NNL:3.4150755642306416
Epoch:40	HANN(SE):0.9720227718353271	NNL:3.40879630796371
Epoch:41	HANN(SE):0.9567323327064514	NNL:3.395375085646106
Epoch:42	HANN(SE):0.9689710736274719	NNL:3.377767160477178
Epoch:43	HANN(SE):0.9672213792800903	NNL:3.357440667921494
Epoch:44	HANN(SE):0.9519880414009094	NNL:3.3432879318729523
Epoch:45	HANN(SE):0.9432480335235596	NNL:3.324478405367945
Epoch:46	HANN(SE):0.945857584476471	NNL:3.3139129700199255
Epoch:47	HANN(SE):0.9454261064529419	NNL:3.297960569320187
Epoch:48	HANN(SE):0.9446817636489868	NNL:3.285474216092016
Epoch:49	HANN(SE):0.9473623633384705	NNL:3.273822596150059
Epoch:50	HANN(SE):0.9393415451049805	NNL:3.259574071822629
Epoch:51	HANN(SE):0.9654898643493652	NNL:3.2523759731169655
Epoch:52	HANN(SE):0.9486963152885437	NNL:3.244163623932867
Epoch:53	HANN(SE):0.9731953144073486	NNL:3.2397827099215615
Epoch:54	HANN(SE):0.9304217100143433	NNL:3.2144825670796062
Epoch:55	HANN(SE):0.935145914554596	NNL:3.2046781773721036
Epoch:56	HANN(SE):0.9476616978645325	NNL:3.1940176994569818
Epoch:57	HANN(SE):0.9675252437591553	NNL:3.1864787513979014
Epoch:58	HANN(SE):0.9404840469360352	NNL:3.171056871721822
Epoch:59	HANN(SE):0.9835419058799744	NNL:3.162449280523485
Epoch:60	HANN(SE):0.9444581866264343	NNL:3.169676786853421
Epoch:61	HANN(SE):0.9430375695228577	NNL:3.1976407155682964
Epoch:62	HANN(SE):0.971291184425354	NNL:3.197502425409131
Epoch:63	HANN(SE):0.963105320930481	NNL:3.195897525664297
Epoch:64	HANN(SE):0.9409188032150269	NNL:3.2038380481350806
Epoch:65	HANN(SE):0.9363019466400146	NNL:3.210321598668251
Epoch:66	HANN(SE):0.9720997214317322	NNL:3.175455955997592
Epoch:67	HANN(SE):0.9806593656539917	NNL:3.1527933982110765
Epoch:68	HANN(SE):0.9508996605873108	NNL:3.1483548478157286
Epoch:69	HANN(SE):0.9388613700866699	NNL:3.1484865705428575
Epoch:70	HANN(SE):0.9467679262161255	NNL:3.151716632227746
Epoch:71	HANN(SE):0.9671517610549927	NNL:3.1343733670634593
Epoch:72	HANN(SE):0.9622260332107544	NNL:3.1291245638939666
Epoch:73	HANN(SE):0.9972203373908997	NNL:3.123079651863343
Epoch:74	HANN(SE):0.9679843783378601	NNL:3.1237629441292056
Epoch:75	HANN(SE):0.9517871737480164	NNL:3.102230683603594
Epoch:76	HANN(SE):0.9865731596946716	NNL:3.097982330322267
Epoch:77	HANN(SE):0.961607038974762	NNL:3.092152118067587
Epoch:78	HANN(SE):0.9682999849319458	NNL:3.0870592375724546
Epoch:79	HANN(SE):0.9583569765090942	NNL:3.080066971317415
