Epoch:0	SE:2.4636247158050537
Epoch:1	SE:1.9386122226715088
Epoch:2	SE:1.5098329782485962
Epoch:3	SE:1.3064149618148804
Epoch:4	SE:1.2705439329147339
Epoch:5	SE:1.2800507545471191
Epoch:6	SE:1.2801934480667114
Epoch:7	SE:1.2577075958251953
Epoch:8	SE:1.2149678468704224
Epoch:9	SE:1.1649603843688965
Epoch:10	SE:1.124891757965088
Epoch:11	SE:1.101449728012085
Epoch:12	SE:1.0885075330734253
Epoch:13	SE:1.0785181522369385
Epoch:14	SE:1.0683231353759766
Epoch:15	SE:1.0578782558441162
Epoch:16	SE:1.0478399991989136
Epoch:17	SE:1.0384324789047241
Epoch:18	SE:1.0294477939605713
Epoch:19	SE:1.020501971244812
Epoch:20	SE:1.0111980438232422
Epoch:21	SE:1.0012651681900024
Epoch:22	SE:0.9906054735183716
Epoch:23	SE:0.9792292714118958
Epoch:24	SE:0.9671903252601624
Epoch:25	SE:0.9545539021492004
Epoch:26	SE:0.9413790106773376
Epoch:27	SE:0.9277050495147705
Epoch:28	SE:0.91355299949646
Epoch:29	SE:0.8989397883415222
Epoch:30	SE:0.8838924765586853
Epoch:31	SE:0.8684332370758057
Epoch:32	SE:0.8525917530059814
Epoch:33	SE:0.8364007472991943
Epoch:34	SE:0.8198869824409485
Epoch:35	SE:0.8030955195426941
Epoch:36	SE:0.7861031293869019
Epoch:37	SE:0.7690067887306213
Epoch:38	SE:0.7518937587738037
Epoch:39	SE:0.7348130345344543
Epoch:40	SE:0.7177642583847046
Epoch:41	SE:0.7007275819778442
Epoch:42	SE:0.6836796998977661
Epoch:43	SE:0.6666215658187866
Epoch:44	SE:0.6496186852455139
Epoch:45	SE:0.6328015923500061
Epoch:46	SE:0.6163197159767151
Epoch:47	SE:0.6002835035324097
Epoch:48	SE:0.5847676992416382
Epoch:49	SE:0.5698638558387756
Epoch:50	SE:0.5556393265724182
Epoch:51	SE:0.5420508980751038
Epoch:52	SE:0.5289820432662964
Epoch:53	SE:0.5163351893424988
Epoch:54	SE:0.5040324926376343
Epoch:55	SE:0.4920346438884735
Epoch:56	SE:0.48041948676109314
Epoch:57	SE:0.4694240391254425
Epoch:58	SE:0.45924583077430725
Epoch:59	SE:0.44991400837898254
Epoch:60	SE:0.4414021968841553
Epoch:61	SE:0.4335309863090515
Epoch:62	SE:0.4259573519229889
Epoch:63	SE:0.4183530807495117
Epoch:64	SE:0.41051700711250305
Epoch:65	SE:0.40251410007476807
Epoch:66	SE:0.39483144879341125
Epoch:67	SE:0.3882163166999817
Epoch:68	SE:0.3828136622905731
Epoch:69	SE:0.3779590427875519
Epoch:70	SE:0.37307485938072205
Epoch:71	SE:0.36799025535583496
Epoch:72	SE:0.3628487288951874
Epoch:73	SE:0.35814470052719116
Epoch:74	SE:0.3542860448360443
Epoch:75	SE:0.351068913936615
Epoch:76	SE:0.3479059040546417
Epoch:77	SE:0.3444441854953766
Epoch:78	SE:0.3405313491821289
Epoch:79	SE:0.33615896105766296
Epoch:80	SE:0.3320388197898865
Epoch:81	SE:0.32934707403182983
Epoch:82	SE:0.32828179001808167
Epoch:83	SE:0.3304316997528076
Epoch:84	SE:0.33778420090675354
Epoch:85	SE:0.3453998863697052
Epoch:86	SE:0.34068241715431213
Epoch:87	SE:0.3385882079601288
Epoch:88	SE:0.3383195400238037
Epoch:89	SE:0.33693891763687134
Epoch:90	SE:0.33546438813209534
Epoch:91	SE:0.33293619751930237
Epoch:92	SE:0.3313049376010895
Epoch:93	SE:0.32998672127723694
Epoch:94	SE:0.32954996824264526
Epoch:95	SE:0.33022892475128174
Epoch:96	SE:0.32998377084732056
Epoch:97	SE:0.3326254189014435
