Epoch:0	SE:1.1238622665405273
Epoch:1	SE:1.0990347862243652
Epoch:2	SE:1.0749512910842896
Epoch:3	SE:1.0515313148498535
Epoch:4	SE:1.0287103652954102
Epoch:5	SE:1.0064501762390137
Epoch:6	SE:0.984733521938324
Epoch:7	SE:0.9635550379753113
Epoch:8	SE:0.9429225921630859
Epoch:9	SE:0.9228499531745911
Epoch:10	SE:0.9033558368682861
Epoch:11	SE:0.8844653964042664
Epoch:12	SE:0.8662014603614807
Epoch:13	SE:0.8485909700393677
Epoch:14	SE:0.831660270690918
Epoch:15	SE:0.8154313564300537
Epoch:16	SE:0.7999277114868164
Epoch:17	SE:0.7851682305335999
Epoch:18	SE:0.7711666822433472
Epoch:19	SE:0.7579320073127747
Epoch:20	SE:0.745469868183136
Epoch:21	SE:0.7337784171104431
Epoch:22	SE:0.7228501439094543
Epoch:23	SE:0.7126733660697937
Epoch:24	SE:0.7032318115234375
Epoch:25	SE:0.6945027112960815
Epoch:26	SE:0.6864592432975769
Epoch:27	SE:0.6790726184844971
Epoch:28	SE:0.6723085045814514
Epoch:29	SE:0.6661338806152344
Epoch:30	SE:0.6605101227760315
Epoch:31	SE:0.655401349067688
Epoch:32	SE:0.6507689356803894
Epoch:33	SE:0.6465775966644287
Epoch:34	SE:0.6427909135818481
Epoch:35	SE:0.6393740177154541
Epoch:36	SE:0.6362929940223694
Epoch:37	SE:0.633517324924469
Epoch:38	SE:0.6310184597969055
Epoch:39	SE:0.6287676692008972
Epoch:40	SE:0.626740574836731
Epoch:41	SE:0.6249144673347473
Epoch:42	SE:0.6232670545578003
Epoch:43	SE:0.6217797994613647
Epoch:44	SE:0.6204360723495483
Epoch:45	SE:0.6192185878753662
Epoch:46	SE:0.6181140542030334
Epoch:47	SE:0.6171097755432129
Epoch:48	SE:0.616194486618042
Epoch:49	SE:0.615358293056488
Epoch:50	SE:0.6145917177200317
Epoch:51	SE:0.6138873100280762
Epoch:52	SE:0.6132376790046692
Epoch:53	SE:0.6126359105110168
Epoch:54	SE:0.6120774149894714
Epoch:55	SE:0.6115575432777405
Epoch:56	SE:0.6110707521438599
Epoch:57	SE:0.6106144785881042
Epoch:58	SE:0.6101840734481812
Epoch:59	SE:0.6097778081893921
Epoch:60	SE:0.6093915700912476
Epoch:61	SE:0.609023928642273
Epoch:62	SE:0.6086729168891907
Epoch:63	SE:0.6083365678787231
Epoch:64	SE:0.6080132126808167
Epoch:65	SE:0.607700765132904
Epoch:66	SE:0.607399582862854
Epoch:67	SE:0.6071071028709412
Epoch:68	SE:0.6068229079246521
Epoch:69	SE:0.6065462827682495
Epoch:70	SE:0.6062754392623901
Epoch:71	SE:0.6060115098953247
Epoch:72	SE:0.6057525873184204
Epoch:73	SE:0.6054979562759399
Epoch:74	SE:0.6052489280700684
Epoch:75	SE:0.6050031185150146
Epoch:76	SE:0.6047611236572266
Epoch:77	SE:0.6045223474502563
Epoch:78	SE:0.6042860746383667
Epoch:79	SE:0.6040533185005188
Epoch:80	SE:0.6038224697113037
Epoch:81	SE:0.6035946011543274
Epoch:82	SE:0.6033684611320496
Epoch:83	SE:0.6031444668769836
Epoch:84	SE:0.6029220819473267
Epoch:85	SE:0.6027027368545532
Epoch:86	SE:0.6024836301803589
Epoch:87	SE:0.6022670865058899
Epoch:88	SE:0.6020510196685791
Epoch:89	SE:0.6018365621566772
Epoch:90	SE:0.6016243696212769
Epoch:91	SE:0.6014124751091003
Epoch:92	SE:0.6012022495269775
Epoch:93	SE:0.6009932160377502
Epoch:94	SE:0.6007850766181946
Epoch:95	SE:0.6005780696868896
Epoch:96	SE:0.6003724336624146
Epoch:97	SE:0.6001672148704529
Epoch:98	SE:0.5999635457992554
Epoch:99	SE:0.5997606515884399
