Epoch:0	SE:1.1700443029403687
Epoch:1	SE:0.9319589734077454
Epoch:2	SE:0.7562268972396851
Epoch:3	SE:0.6694052815437317
Epoch:4	SE:0.6381465792655945
Epoch:5	SE:0.6268350481987
Epoch:6	SE:0.6214761137962341
Epoch:7	SE:0.6179114580154419
Epoch:8	SE:0.6149424910545349
Epoch:9	SE:0.6122152209281921
Epoch:10	SE:0.6096228361129761
Epoch:11	SE:0.6071328520774841
Epoch:12	SE:0.6047345399856567
Epoch:13	SE:0.602421224117279
Epoch:14	SE:0.6001905202865601
Epoch:15	SE:0.598038911819458
Epoch:16	SE:0.5959622263908386
Epoch:17	SE:0.5939565300941467
Epoch:18	SE:0.5920191407203674
Epoch:19	SE:0.5901451110839844
Epoch:20	SE:0.5883300304412842
Epoch:21	SE:0.5865722894668579
Epoch:22	SE:0.5848658084869385
