Epoch:0	SE:1.0639755725860596
Epoch:1	SE:0.688653290271759
Epoch:2	SE:0.5286932587623596
Epoch:3	SE:0.49463513493537903
Epoch:4	SE:0.4837038218975067
Epoch:5	SE:0.4763473570346832
Epoch:6	SE:0.4698410630226135
Epoch:7	SE:0.4637795686721802
Epoch:8	SE:0.45809412002563477
Epoch:9	SE:0.45276233553886414
Epoch:10	SE:0.44776350259780884
Epoch:11	SE:0.4430737793445587
Epoch:12	SE:0.4386706054210663
Epoch:13	SE:0.4345320463180542
Epoch:14	SE:0.4306395947933197
Epoch:15	SE:0.4269779324531555
Epoch:16	SE:0.42353424429893494
Epoch:17	SE:0.42029836773872375
Epoch:18	SE:0.41726118326187134
Epoch:19	SE:0.4144144356250763
Epoch:20	SE:0.4117506146430969
Epoch:21	SE:0.4092605710029602
Epoch:22	SE:0.40693429112434387
Epoch:23	SE:0.4047587513923645
Epoch:24	SE:0.4027210772037506
Epoch:25	SE:0.4008069932460785
Epoch:26	SE:0.39900174736976624
Epoch:27	SE:0.3972910940647125
Epoch:28	SE:0.395660400390625
Epoch:29	SE:0.39409732818603516
Epoch:30	SE:0.3925909698009491
Epoch:31	SE:0.3911307454109192
Epoch:32	SE:0.38970866799354553
Epoch:33	SE:0.38831695914268494
Epoch:34	SE:0.38694968819618225
Epoch:35	SE:0.3856024146080017
Epoch:36	SE:0.3842712640762329
Epoch:37	SE:0.38295382261276245
Epoch:38	SE:0.3816470503807068
Epoch:39	SE:0.38034960627555847
Epoch:40	SE:0.37906065583229065
Epoch:41	SE:0.37777891755104065
Epoch:42	SE:0.37650397419929504
Epoch:43	SE:0.3752352297306061
Epoch:44	SE:0.3739727735519409
Epoch:45	SE:0.3727151155471802
Epoch:46	SE:0.37146300077438354
Epoch:47	SE:0.3702157437801361
Epoch:48	SE:0.36897337436676025
Epoch:49	SE:0.3677356243133545
Epoch:50	SE:0.3665017783641815
Epoch:51	SE:0.36527204513549805
Epoch:52	SE:0.364045113325119
Epoch:53	SE:0.3628218472003937
Epoch:54	SE:0.36160069704055786
Epoch:55	SE:0.3603821098804474
Epoch:56	SE:0.35916605591773987
Epoch:57	SE:0.35795193910598755
Epoch:58	SE:0.3567400276660919
Epoch:59	SE:0.35552921891212463
Epoch:60	SE:0.35432010889053345
Epoch:61	SE:0.3531121015548706
Epoch:62	SE:0.3519050180912018
Epoch:63	SE:0.350699245929718
Epoch:64	SE:0.3494945764541626
Epoch:65	SE:0.34829041361808777
Epoch:66	SE:0.3470875918865204
Epoch:67	SE:0.3458854854106903
Epoch:68	SE:0.3446844816207886
Epoch:69	SE:0.34348517656326294
Epoch:70	SE:0.3422870934009552
Epoch:71	SE:0.3410910964012146
Epoch:72	SE:0.33989688754081726
Epoch:73	SE:0.33870550990104675
Epoch:74	SE:0.3375171720981598
Epoch:75	SE:0.33633214235305786
Epoch:76	SE:0.33515113592147827
Epoch:77	SE:0.33397433161735535
Epoch:78	SE:0.3328026831150055
Epoch:79	SE:0.331636518239975
Epoch:80	SE:0.33047592639923096
Epoch:81	SE:0.3293222486972809
Epoch:82	SE:0.3281750977039337
Epoch:83	SE:0.3270356357097626
Epoch:84	SE:0.3259032368659973
Epoch:85	SE:0.3247794210910797
Epoch:86	SE:0.32366400957107544
Epoch:87	SE:0.32255780696868896
Epoch:88	SE:0.32146155834198
Epoch:89	SE:0.32037553191185
Epoch:90	SE:0.3193003833293915
Epoch:91	SE:0.3182368278503418
Epoch:92	SE:0.3171849250793457
Epoch:93	SE:0.31614524126052856
Epoch:94	SE:0.3151182532310486
Epoch:95	SE:0.31410449743270874
Epoch:96	SE:0.3131040036678314
Epoch:97	SE:0.3121167719364166
Epoch:98	SE:0.31114283204078674
Epoch:99	SE:0.3101826012134552
