Epoch:0	SE:1.2444076538085938
Epoch:1	SE:0.8246493339538574
Epoch:2	SE:0.6372973322868347
Epoch:3	SE:0.5977926254272461
Epoch:4	SE:0.5874052047729492
Epoch:5	SE:0.5814384818077087
Epoch:6	SE:0.5764042735099792
Epoch:7	SE:0.5717876553535461
Epoch:8	SE:0.5674896836280823
Epoch:9	SE:0.5634757280349731
Epoch:10	SE:0.5597216486930847
Epoch:11	SE:0.5562079548835754
Epoch:12	SE:0.5529178977012634
Epoch:13	SE:0.5498359799385071
Epoch:14	SE:0.5469493865966797
Epoch:15	SE:0.5442440509796143
Epoch:16	SE:0.5417096018791199
Epoch:17	SE:0.5393345355987549
Epoch:18	SE:0.5371075868606567
Epoch:19	SE:0.5350201725959778
Epoch:20	SE:0.5330619812011719
Epoch:21	SE:0.5312271118164062
Epoch:22	SE:0.5295045375823975
Epoch:23	SE:0.5278900265693665
Epoch:24	SE:0.5263752341270447
Epoch:25	SE:0.524954617023468
Epoch:26	SE:0.5236214399337769
Epoch:27	SE:0.5223710536956787
Epoch:28	SE:0.5211977958679199
Epoch:29	SE:0.5200960040092468
Epoch:30	SE:0.5190596580505371
Epoch:31	SE:0.5180851221084595
Epoch:32	SE:0.5171661376953125
Epoch:33	SE:0.5162990093231201
Epoch:34	SE:0.5154775381088257
Epoch:35	SE:0.5146981477737427
Epoch:36	SE:0.5139568448066711
Epoch:37	SE:0.5132493376731873
Epoch:38	SE:0.5125722885131836
Epoch:39	SE:0.5119224190711975
Epoch:40	SE:0.5112972259521484
Epoch:41	SE:0.510692298412323
Epoch:42	SE:0.5101057887077332
Epoch:43	SE:0.5095362663269043
Epoch:44	SE:0.5089818239212036
Epoch:45	SE:0.5084390640258789
Epoch:46	SE:0.5079079270362854
Epoch:47	SE:0.5073863863945007
Epoch:48	SE:0.5068724155426025
Epoch:49	SE:0.5063665509223938
