Epoch:0	SE:1.117945671081543
Epoch:1	SE:0.9088828563690186
Epoch:2	SE:0.7446790933609009
Epoch:3	SE:0.6359757781028748
Epoch:4	SE:0.5781129002571106
Epoch:5	SE:0.5516102313995361
Epoch:6	SE:0.5398974418640137
Epoch:7	SE:0.5342887043952942
Epoch:8	SE:0.5310822129249573
Epoch:9	SE:0.5288227200508118
Epoch:10	SE:0.5269572138786316
Epoch:11	SE:0.5252763032913208
Epoch:12	SE:0.5236999988555908
Epoch:13	SE:0.522196352481842
Epoch:14	SE:0.5207523107528687
Epoch:15	SE:0.5193604230880737
Epoch:16	SE:0.5180166363716125
Epoch:17	SE:0.5167170166969299
Epoch:18	SE:0.5154600143432617
Epoch:19	SE:0.5142424702644348
Epoch:20	SE:0.5130619406700134
Epoch:21	SE:0.5119165778160095
Epoch:22	SE:0.5108053088188171
Epoch:23	SE:0.5097254514694214
Epoch:24	SE:0.5086742639541626
Epoch:25	SE:0.5076508522033691
Epoch:26	SE:0.5066534876823425
Epoch:27	SE:0.5056796669960022
Epoch:28	SE:0.504728376865387
Epoch:29	SE:0.5037979483604431
Epoch:30	SE:0.5028865337371826
Epoch:31	SE:0.5019933581352234
Epoch:32	SE:0.501116156578064
Epoch:33	SE:0.5002535581588745
Epoch:34	SE:0.4994044005870819
Epoch:35	SE:0.4985673427581787
Epoch:36	SE:0.497741162776947
Epoch:37	SE:0.4969237744808197
Epoch:38	SE:0.4961157441139221
Epoch:39	SE:0.4953141510486603
Epoch:40	SE:0.4945189654827118
Epoch:41	SE:0.49372872710227966
Epoch:42	SE:0.492942214012146
Epoch:43	SE:0.49215856194496155
Epoch:44	SE:0.49137699604034424
Epoch:45	SE:0.4905968904495239
Epoch:46	SE:0.48981741070747375
Epoch:47	SE:0.4890366494655609
Epoch:48	SE:0.48825541138648987
Epoch:49	SE:0.48747122287750244
