Epoch:0	SE:1.2528468370437622
Epoch:1	SE:1.237320065498352
Epoch:2	SE:1.2208030223846436
Epoch:3	SE:1.2025501728057861
Epoch:4	SE:1.1816720962524414
Epoch:5	SE:1.157106637954712
Epoch:6	SE:1.12754487991333
Epoch:7	SE:1.0913310050964355
Epoch:8	SE:1.046453833580017
Epoch:9	SE:0.9907398819923401
Epoch:10	SE:0.9226223230361938
Epoch:11	SE:0.8429567217826843
Epoch:12	SE:0.7576040625572205
Epoch:13	SE:0.6780328154563904
Epoch:14	SE:0.6160290241241455
Epoch:15	SE:0.5758473873138428
Epoch:16	SE:0.553345799446106
Epoch:17	SE:0.5417166948318481
Epoch:18	SE:0.5357623100280762
Epoch:19	SE:0.5325210094451904
Epoch:20	SE:0.5305314660072327
Epoch:21	SE:0.5291171669960022
Epoch:22	SE:0.5279741883277893
Epoch:23	SE:0.5269653797149658
Epoch:24	SE:0.526028573513031
Epoch:25	SE:0.5251338481903076
Epoch:26	SE:0.5242677927017212
Epoch:27	SE:0.5234230756759644
Epoch:28	SE:0.5225955247879028
Epoch:29	SE:0.521783709526062
Epoch:30	SE:0.5209852457046509
Epoch:31	SE:0.5201987624168396
Epoch:32	SE:0.5194250345230103
Epoch:33	SE:0.5186623334884644
Epoch:34	SE:0.5179105401039124
Epoch:35	SE:0.5171694159507751
Epoch:36	SE:0.5164390206336975
Epoch:37	SE:0.5157185792922974
Epoch:38	SE:0.5150071382522583
Epoch:39	SE:0.5143049359321594
Epoch:40	SE:0.5136128067970276
Epoch:41	SE:0.5129290223121643
Epoch:42	SE:0.5122540593147278
Epoch:43	SE:0.5115879774093628
Epoch:44	SE:0.5109297037124634
Epoch:45	SE:0.5102795958518982
Epoch:46	SE:0.5096375346183777
Epoch:47	SE:0.5090028643608093
Epoch:48	SE:0.5083752274513245
Epoch:49	SE:0.5077552199363708
