Epoch:0	SE:1.1805171966552734
Epoch:1	SE:1.166101336479187
Epoch:2	SE:1.1511447429656982
Epoch:3	SE:1.1350317001342773
Epoch:4	SE:1.1170775890350342
Epoch:5	SE:1.0964972972869873
Epoch:6	SE:1.0723497867584229
Epoch:7	SE:1.0434848070144653
Epoch:8	SE:1.0085084438323975
Epoch:9	SE:0.9658532738685608
Epoch:10	SE:0.9140936732292175
Epoch:11	SE:0.8527605533599854
Epoch:12	SE:0.7837937474250793
Epoch:13	SE:0.7129460573196411
Epoch:14	SE:0.6491023898124695
Epoch:15	SE:0.6000193953514099
Epoch:16	SE:0.5677897334098816
Epoch:17	SE:0.5491016507148743
Epoch:18	SE:0.5390039086341858
Epoch:19	SE:0.5336035490036011
Epoch:20	SE:0.5305691957473755
Epoch:21	SE:0.5286816954612732
Epoch:22	SE:0.5273445844650269
Epoch:23	SE:0.5262776017189026
Epoch:24	SE:0.525346577167511
Epoch:25	SE:0.5244897603988647
Epoch:26	SE:0.523675262928009
Epoch:27	SE:0.5228895545005798
Epoch:28	SE:0.522124171257019
Epoch:29	SE:0.5213746428489685
Epoch:30	SE:0.520638644695282
Epoch:31	SE:0.5199143886566162
Epoch:32	SE:0.5192013382911682
Epoch:33	SE:0.518498420715332
Epoch:34	SE:0.5178049802780151
Epoch:35	SE:0.517121434211731
Epoch:36	SE:0.5164462327957153
Epoch:37	SE:0.515779972076416
Epoch:38	SE:0.5151214003562927
Epoch:39	SE:0.5144706964492798
Epoch:40	SE:0.5138282179832458
Epoch:41	SE:0.5131930112838745
Epoch:42	SE:0.5125648379325867
Epoch:43	SE:0.5119444727897644
Epoch:44	SE:0.5113309025764465
Epoch:45	SE:0.5107249021530151
Epoch:46	SE:0.5101252198219299
Epoch:47	SE:0.5095316767692566
Epoch:48	SE:0.5089445114135742
Epoch:49	SE:0.5083635449409485
Epoch:50	SE:0.5077888369560242
Epoch:51	SE:0.5072198510169983
Epoch:52	SE:0.5066567063331604
Epoch:53	SE:0.5060990452766418
Epoch:54	SE:0.5055467486381531
Epoch:55	SE:0.5050003528594971
Epoch:56	SE:0.5044584274291992
Epoch:57	SE:0.5039217472076416
Epoch:58	SE:0.5033898949623108
Epoch:59	SE:0.5028632283210754
Epoch:60	SE:0.5023410320281982
Epoch:61	SE:0.5018237233161926
Epoch:62	SE:0.5013108253479004
Epoch:63	SE:0.5008024573326111
Epoch:64	SE:0.5002989172935486
Epoch:65	SE:0.49980050325393677
Epoch:66	SE:0.4993058741092682
Epoch:67	SE:0.498815655708313
Epoch:68	SE:0.4983289837837219
Epoch:69	SE:0.49784719944000244
Epoch:70	SE:0.4973689019680023
Epoch:71	SE:0.4968947172164917
Epoch:72	SE:0.49642422795295715
