Epoch:0	SE:1.1112873554229736
Epoch:1	SE:1.0903257131576538
Epoch:2	SE:1.0666269063949585
Epoch:3	SE:1.038066029548645
Epoch:4	SE:1.0021942853927612
Epoch:5	SE:0.9564034938812256
Epoch:6	SE:0.8985788226127625
Epoch:7	SE:0.8286131620407104
Epoch:8	SE:0.7510233521461487
Epoch:9	SE:0.6765252947807312
Epoch:10	SE:0.6173893213272095
Epoch:11	SE:0.5788056254386902
Epoch:12	SE:0.5572193264961243
Epoch:13	SE:0.5461046099662781
Epoch:14	SE:0.5404338836669922
Epoch:15	SE:0.5373639464378357
Epoch:16	SE:0.5354989767074585
Epoch:17	SE:0.5341942310333252
Epoch:18	SE:0.5331560373306274
Epoch:19	SE:0.5322508811950684
Epoch:20	SE:0.5314182043075562
Epoch:21	SE:0.5306279063224792
Epoch:22	SE:0.5298658609390259
Epoch:23	SE:0.5291244387626648
Epoch:24	SE:0.5284007787704468
Epoch:25	SE:0.5276913046836853
Epoch:26	SE:0.5269953012466431
Epoch:27	SE:0.526310920715332
Epoch:28	SE:0.5256381034851074
Epoch:29	SE:0.524976372718811
Epoch:30	SE:0.5243252515792847
Epoch:31	SE:0.5236845016479492
Epoch:32	SE:0.5230534076690674
Epoch:33	SE:0.5224311947822571
Epoch:34	SE:0.5218188166618347
Epoch:35	SE:0.5212159156799316
Epoch:36	SE:0.5206212401390076
Epoch:37	SE:0.520035982131958
Epoch:38	SE:0.5194583535194397
Epoch:39	SE:0.5188894271850586
Epoch:40	SE:0.5183294415473938
Epoch:41	SE:0.5177768468856812
Epoch:42	SE:0.5172327160835266
Epoch:43	SE:0.5166959762573242
Epoch:44	SE:0.5161673426628113
Epoch:45	SE:0.5156463384628296
Epoch:46	SE:0.5151320099830627
Epoch:47	SE:0.5146254897117615
Epoch:48	SE:0.5141265392303467
Epoch:49	SE:0.5136339664459229
