Epoch:0	SE:1.1772798299789429
Epoch:1	SE:1.1098395586013794
Epoch:2	SE:0.9972364902496338
Epoch:3	SE:0.8119820952415466
Epoch:4	SE:0.6326301097869873
Epoch:5	SE:0.5611398220062256
Epoch:6	SE:0.5448790192604065
Epoch:7	SE:0.540176510810852
Epoch:8	SE:0.5376369953155518
Epoch:9	SE:0.535605251789093
Epoch:10	SE:0.5337496995925903
Epoch:11	SE:0.5319889783859253
Epoch:12	SE:0.5303004384040833
Epoch:13	SE:0.5286734700202942
Epoch:14	SE:0.5271044373512268
Epoch:15	SE:0.5255878567695618
Epoch:16	SE:0.5241221189498901
Epoch:17	SE:0.5227052569389343
Epoch:18	SE:0.5213331580162048
Epoch:19	SE:0.5200055241584778
Epoch:20	SE:0.5187201499938965
Epoch:21	SE:0.5174762606620789
Epoch:22	SE:0.5162729620933533
Epoch:23	SE:0.5151070952415466
Epoch:24	SE:0.5139771103858948
Epoch:25	SE:0.5128835439682007
Epoch:26	SE:0.5118227601051331
Epoch:27	SE:0.5107954740524292
Epoch:28	SE:0.5097995400428772
Epoch:29	SE:0.5088341236114502
Epoch:30	SE:0.5078982710838318
Epoch:31	SE:0.5069923996925354
Epoch:32	SE:0.506113588809967
Epoch:33	SE:0.5052610635757446
Epoch:34	SE:0.504433274269104
Epoch:35	SE:0.5036298036575317
Epoch:36	SE:0.5028493404388428
Epoch:37	SE:0.5020900964736938
Epoch:38	SE:0.5013507008552551
Epoch:39	SE:0.5006310939788818
Epoch:40	SE:0.4999293088912964
Epoch:41	SE:0.4992446303367615
Epoch:42	SE:0.49857592582702637
Epoch:43	SE:0.49792301654815674
Epoch:44	SE:0.4972834885120392
Epoch:45	SE:0.49665701389312744
Epoch:46	SE:0.4960416555404663
Epoch:47	SE:0.49543821811676025
Epoch:48	SE:0.49484485387802124
Epoch:49	SE:0.4942612648010254
