Epoch:0	SE:2.5857715606689453
Epoch:1	SE:1.5735561847686768
Epoch:2	SE:1.2103064060211182
Epoch:3	SE:1.1862831115722656
Epoch:4	SE:1.1682356595993042
Epoch:5	SE:1.154358148574829
Epoch:6	SE:1.143623948097229
Epoch:7	SE:1.1351240873336792
Epoch:8	SE:1.1280683279037476
Epoch:9	SE:1.1218562126159668
Epoch:10	SE:1.1160783767700195
Epoch:11	SE:1.110455870628357
Epoch:12	SE:1.1047916412353516
Epoch:13	SE:1.098926067352295
Epoch:14	SE:1.0927084684371948
Epoch:15	SE:1.0860129594802856
Epoch:16	SE:1.0786898136138916
Epoch:17	SE:1.070534348487854
Epoch:18	SE:1.0612318515777588
Epoch:19	SE:1.050249695777893
Epoch:20	SE:1.036754846572876
Epoch:21	SE:1.0195995569229126
Epoch:22	SE:0.9977777600288391
Epoch:23	SE:0.9719555377960205
Epoch:24	SE:0.9450913667678833
Epoch:25	SE:0.9196443557739258
Epoch:26	SE:0.8959435224533081
Epoch:27	SE:0.873332142829895
Epoch:28	SE:0.8511779308319092
Epoch:29	SE:0.8288856744766235
Epoch:30	SE:0.8059979677200317
Epoch:31	SE:0.7820833325386047
Epoch:32	SE:0.7567175030708313
Epoch:33	SE:0.7297468781471252
Epoch:34	SE:0.7021422982215881
Epoch:35	SE:0.6756603717803955
Epoch:36	SE:0.6512541770935059
Epoch:37	SE:0.6286330223083496
Epoch:38	SE:0.6077445149421692
Epoch:39	SE:0.5882967710494995
Epoch:40	SE:0.570103108882904
Epoch:41	SE:0.5529985427856445
Epoch:42	SE:0.5367504358291626
Epoch:43	SE:0.5212786197662354
Epoch:44	SE:0.5064631700515747
Epoch:45	SE:0.4922126829624176
Epoch:46	SE:0.47842493653297424
Epoch:47	SE:0.4650368392467499
Epoch:48	SE:0.4520109295845032
Epoch:49	SE:0.43928050994873047
