Epoch:0	SE:2.5763795375823975
Epoch:1	SE:2.047900915145874
Epoch:2	SE:1.1940996646881104
Epoch:3	SE:1.1623895168304443
Epoch:4	SE:1.1481212377548218
Epoch:5	SE:1.136578917503357
Epoch:6	SE:1.1264668703079224
Epoch:7	SE:1.1171025037765503
Epoch:8	SE:1.1080571413040161
Epoch:9	SE:1.0990368127822876
Epoch:10	SE:1.0898202657699585
Epoch:11	SE:1.08022141456604
Epoch:12	SE:1.0700806379318237
Epoch:13	SE:1.0592454671859741
Epoch:14	SE:1.0475529432296753
Epoch:15	SE:1.0348080396652222
Epoch:16	SE:1.0207778215408325
Epoch:17	SE:1.0051445960998535
Epoch:18	SE:0.9875137805938721
Epoch:19	SE:0.9673070907592773
Epoch:20	SE:0.9437555074691772
Epoch:21	SE:0.9159671664237976
Epoch:22	SE:0.8836289644241333
Epoch:23	SE:0.84808748960495
Epoch:24	SE:0.8119978308677673
Epoch:25	SE:0.7769359946250916
Epoch:26	SE:0.7432358860969543
Epoch:27	SE:0.7116566896438599
Epoch:28	SE:0.6828048825263977
Epoch:29	SE:0.656347930431366
Epoch:30	SE:0.6318748593330383
Epoch:31	SE:0.608954668045044
Epoch:32	SE:0.5872443914413452
Epoch:33	SE:0.5666074752807617
Epoch:34	SE:0.5468438863754272
Epoch:35	SE:0.5278470516204834
Epoch:36	SE:0.5095194578170776
Epoch:37	SE:0.49178093671798706
Epoch:38	SE:0.4745884835720062
Epoch:39	SE:0.45787572860717773
Epoch:40	SE:0.44165247678756714
Epoch:41	SE:0.4258936047554016
Epoch:42	SE:0.4104959964752197
Epoch:43	SE:0.39539286494255066
Epoch:44	SE:0.380653440952301
Epoch:45	SE:0.3662748336791992
Epoch:46	SE:0.3522469103336334
Epoch:47	SE:0.3386439085006714
Epoch:48	SE:0.32548773288726807
Epoch:49	SE:0.3126910626888275
