Epoch:0	SE:2.7517967224121094
Epoch:1	SE:1.9934743642807007
Epoch:2	SE:1.2005728483200073
Epoch:3	SE:1.1755040884017944
Epoch:4	SE:1.1575438976287842
Epoch:5	SE:1.1433285474777222
Epoch:6	SE:1.131659746170044
Epoch:7	SE:1.1214251518249512
Epoch:8	SE:1.1118862628936768
Epoch:9	SE:1.1025545597076416
Epoch:10	SE:1.0931273698806763
Epoch:11	SE:1.083359718322754
Epoch:12	SE:1.073050618171692
Epoch:13	SE:1.0620107650756836
Epoch:14	SE:1.0500737428665161
Epoch:15	SE:1.037093162536621
Epoch:16	SE:1.022882342338562
Epoch:17	SE:1.0071661472320557
Epoch:18	SE:0.9894947409629822
Epoch:19	SE:0.969305694103241
Epoch:20	SE:0.9459345936775208
Epoch:21	SE:0.9189520478248596
Epoch:22	SE:0.8888718485832214
Epoch:23	SE:0.8579654097557068
Epoch:24	SE:0.8291165828704834
Epoch:25	SE:0.8032512068748474
Epoch:26	SE:0.7795493602752686
Epoch:27	SE:0.7573748826980591
Epoch:28	SE:0.7363957762718201
Epoch:29	SE:0.716446042060852
Epoch:30	SE:0.6974862217903137
Epoch:31	SE:0.6793787479400635
Epoch:32	SE:0.6620981097221375
Epoch:33	SE:0.6455118060112
Epoch:34	SE:0.6296037435531616
Epoch:35	SE:0.614284098148346
Epoch:36	SE:0.5995276570320129
Epoch:37	SE:0.5852988958358765
Epoch:38	SE:0.5714448094367981
Epoch:39	SE:0.5578847527503967
Epoch:40	SE:0.5445013642311096
Epoch:41	SE:0.5312445759773254
Epoch:42	SE:0.5181381106376648
Epoch:43	SE:0.5051847696304321
Epoch:44	SE:0.4922808110713959
Epoch:45	SE:0.47938621044158936
Epoch:46	SE:0.46648842096328735
Epoch:47	SE:0.4535616338253021
Epoch:48	SE:0.4406094551086426
Epoch:49	SE:0.42757704854011536
