Epoch:0	SE:2.4295341968536377
Epoch:1	SE:1.8800575733184814
Epoch:2	SE:1.19375741481781
Epoch:3	SE:1.1708251237869263
Epoch:4	SE:1.1559860706329346
Epoch:5	SE:1.1434223651885986
Epoch:6	SE:1.1324961185455322
Epoch:7	SE:1.122874140739441
Epoch:8	SE:1.1141300201416016
Epoch:9	SE:1.1058272123336792
Epoch:10	SE:1.0976173877716064
Epoch:11	SE:1.0892322063446045
Epoch:12	SE:1.080458164215088
Epoch:13	SE:1.0711064338684082
Epoch:14	SE:1.0609716176986694
Epoch:15	SE:1.0498511791229248
Epoch:16	SE:1.0375022888183594
Epoch:17	SE:1.0235974788665771
Epoch:18	SE:1.0076953172683716
Epoch:19	SE:0.989142119884491
Epoch:20	SE:0.9678937196731567
Epoch:21	SE:0.9602828621864319
Epoch:22	SE:0.9525575637817383
Epoch:23	SE:0.9444679617881775
Epoch:24	SE:0.9359561800956726
Epoch:25	SE:0.9269772171974182
Epoch:26	SE:0.9175073504447937
Epoch:27	SE:0.9075409173965454
Epoch:28	SE:0.8970872759819031
Epoch:29	SE:0.8862025737762451
Epoch:30	SE:0.8749727010726929
Epoch:31	SE:0.863521158695221
Epoch:32	SE:0.8519822359085083
Epoch:33	SE:0.8404712677001953
Epoch:34	SE:0.8291330933570862
Epoch:35	SE:0.8180620074272156
Epoch:36	SE:0.807345986366272
Epoch:37	SE:0.7970325946807861
Epoch:38	SE:0.787139892578125
Epoch:39	SE:0.7776626944541931
Epoch:40	SE:0.767883837223053
Epoch:41	SE:0.7650499939918518
Epoch:42	SE:0.7624212503433228
Epoch:43	SE:0.7598740458488464
Epoch:44	SE:0.757385790348053
Epoch:45	SE:0.7549521327018738
Epoch:46	SE:0.7525743246078491
Epoch:47	SE:0.7502433657646179
Epoch:48	SE:0.7479572892189026
Epoch:49	SE:0.7457196116447449
