Epoch:0	SE:2.4744527339935303
Epoch:1	SE:1.9596036672592163
Epoch:2	SE:1.1935604810714722
Epoch:3	SE:1.1657730340957642
Epoch:4	SE:1.1514942646026611
Epoch:5	SE:1.1404930353164673
Epoch:6	SE:1.131269097328186
Epoch:7	SE:1.1229643821716309
Epoch:8	SE:1.1150591373443604
Epoch:9	SE:1.1072356700897217
Epoch:10	SE:1.0992770195007324
Epoch:11	SE:1.0910327434539795
Epoch:12	SE:1.0823705196380615
Epoch:13	SE:1.0731401443481445
Epoch:14	SE:1.0632078647613525
Epoch:15	SE:1.052404761314392
Epoch:16	SE:1.040522575378418
Epoch:17	SE:1.0272679328918457
Epoch:18	SE:1.012237310409546
Epoch:19	SE:0.9948425889015198
Epoch:20	SE:0.9751494526863098
Epoch:21	SE:0.9681901335716248
Epoch:22	SE:0.961087167263031
Epoch:23	SE:0.9536522626876831
Epoch:24	SE:0.945827066898346
Epoch:25	SE:0.9375510811805725
Epoch:26	SE:0.9287808537483215
Epoch:27	SE:0.9194719195365906
Epoch:28	SE:0.9095936417579651
Epoch:29	SE:0.899147629737854
Epoch:30	SE:0.8881714344024658
Epoch:31	SE:0.8767169713973999
Epoch:32	SE:0.8648732900619507
Epoch:33	SE:0.8527805805206299
Epoch:34	SE:0.8406092524528503
Epoch:35	SE:0.828510582447052
Epoch:36	SE:0.8166190981864929
Epoch:37	SE:0.8050779104232788
Epoch:38	SE:0.7939549684524536
Epoch:39	SE:0.7832921743392944
Epoch:40	SE:0.7728022336959839
Epoch:41	SE:0.7697588205337524
Epoch:42	SE:0.7668291330337524
Epoch:43	SE:0.7639885544776917
Epoch:44	SE:0.7612259984016418
Epoch:45	SE:0.758530855178833
Epoch:46	SE:0.7558984160423279
Epoch:47	SE:0.7533223032951355
Epoch:48	SE:0.7507982850074768
Epoch:49	SE:0.7483265995979309
