Epoch:0	SE:2.7322301864624023
Epoch:1	SE:2.0357632637023926
Epoch:2	SE:1.1883938312530518
Epoch:3	SE:1.168981909751892
Epoch:4	SE:1.1589722633361816
Epoch:5	SE:1.1509852409362793
Epoch:6	SE:1.1438510417938232
Epoch:7	SE:1.137068510055542
Epoch:8	SE:1.1303682327270508
Epoch:9	SE:1.1235713958740234
Epoch:10	SE:1.1165562868118286
Epoch:11	SE:1.1092208623886108
Epoch:12	SE:1.1014820337295532
Epoch:13	SE:1.0932519435882568
Epoch:14	SE:1.0844485759735107
Epoch:15	SE:1.0749969482421875
Epoch:16	SE:1.0648211240768433
Epoch:17	SE:1.0538262128829956
Epoch:18	SE:1.0419318675994873
Epoch:19	SE:1.029024362564087
Epoch:20	SE:1.0143979787826538
Epoch:21	SE:1.0097129344940186
Epoch:22	SE:1.005157709121704
Epoch:23	SE:1.0005592107772827
Epoch:24	SE:0.9958903789520264
Epoch:25	SE:0.9911330938339233
Epoch:26	SE:0.9862790107727051
Epoch:27	SE:0.981322169303894
Epoch:28	SE:0.9762506484985352
Epoch:29	SE:0.9710610508918762
Epoch:30	SE:0.965740442276001
Epoch:31	SE:0.9602803587913513
Epoch:32	SE:0.9546636343002319
Epoch:33	SE:0.948884904384613
Epoch:34	SE:0.942922830581665
Epoch:35	SE:0.9367578029632568
Epoch:36	SE:0.9303681254386902
Epoch:37	SE:0.9237307906150818
Epoch:38	SE:0.9168294072151184
Epoch:39	SE:0.909665584564209
Epoch:40	SE:0.9026193618774414
Epoch:41	SE:0.9003576636314392
Epoch:42	SE:0.8981142044067383
Epoch:43	SE:0.8958855271339417
Epoch:44	SE:0.8936624526977539
Epoch:45	SE:0.8914410471916199
Epoch:46	SE:0.8892165422439575
Epoch:47	SE:0.886986494064331
Epoch:48	SE:0.8847475647926331
Epoch:49	SE:0.8824990391731262
