Epoch:0	SE:2.592625856399536
Epoch:1	SE:2.3402769565582275
Epoch:2	SE:1.9972866773605347
Epoch:3	SE:1.3572819232940674
Epoch:4	SE:0.9040558338165283
Epoch:5	SE:0.7092162370681763
Epoch:6	SE:0.5622760057449341
Epoch:7	SE:0.43036144971847534
Epoch:8	SE:0.3137533962726593
Epoch:9	SE:0.2214672863483429
Epoch:10	SE:0.15849460661411285
Epoch:11	SE:0.11869759112596512
Epoch:12	SE:0.09376336634159088
Epoch:13	SE:0.07711205631494522
Epoch:14	SE:0.06492593884468079
Epoch:15	SE:0.05584287270903587
Epoch:16	SE:0.04919670894742012
Epoch:17	SE:0.04617656022310257
Epoch:18	SE:0.051894836127758026
Epoch:19	SE:0.06870034337043762
Epoch:20	SE:0.05921990051865578
Epoch:21	SE:0.04119317606091499
Epoch:22	SE:0.03528192639350891
Epoch:23	SE:0.03274514153599739
Epoch:24	SE:0.031319357454776764
Epoch:25	SE:0.030354414135217667
Epoch:26	SE:0.02960125356912613
Epoch:27	SE:0.02895979955792427
Epoch:28	SE:0.028370585292577744
Epoch:29	SE:0.02780282497406006
Epoch:30	SE:0.02724604122340679
Epoch:31	SE:0.02669536881148815
Epoch:32	SE:0.026149829849600792
Epoch:33	SE:0.025624625384807587
Epoch:34	SE:0.025106700137257576
Epoch:35	SE:0.024632040411233902
Epoch:36	SE:0.024167677387595177
Epoch:37	SE:0.023928645998239517
Epoch:38	SE:0.024043913930654526
Epoch:39	SE:0.026219254359602928
Epoch:40	SE:0.027718735858798027
Epoch:41	SE:0.024266911670565605
Epoch:42	SE:0.02354912832379341
Epoch:43	SE:0.02337840385735035
Epoch:44	SE:0.023140665143728256
Epoch:45	SE:0.02279418334364891
Epoch:46	SE:0.022391371428966522
Epoch:47	SE:0.022007135674357414
Epoch:48	SE:0.021682431921362877
Epoch:49	SE:0.021428897976875305
