Epoch:0	SE:2.7188174724578857
Epoch:1	SE:2.648524045944214
Epoch:2	SE:2.5686795711517334
Epoch:3	SE:2.45304274559021
Epoch:4	SE:2.080421209335327
Epoch:5	SE:1.3620350360870361
Epoch:6	SE:1.2628780603408813
Epoch:7	SE:1.2288750410079956
Epoch:8	SE:1.2160738706588745
Epoch:9	SE:1.1939748525619507
Epoch:10	SE:1.2028621435165405
Epoch:11	SE:1.1956011056900024
Epoch:12	SE:1.1684740781784058
Epoch:13	SE:1.163214921951294
Epoch:14	SE:1.1542956829071045
Epoch:15	SE:1.1685572862625122
Epoch:16	SE:1.1557464599609375
Epoch:17	SE:1.139270544052124
Epoch:18	SE:1.137817621231079
Epoch:19	SE:1.1307913064956665
Epoch:20	SE:1.129152774810791
Epoch:21	SE:1.1289570331573486
Epoch:22	SE:1.1262375116348267
Epoch:23	SE:1.1178516149520874
Epoch:24	SE:1.120891809463501
Epoch:25	SE:1.124863624572754
Epoch:26	SE:1.112573266029358
Epoch:27	SE:1.114990472793579
Epoch:28	SE:1.1199196577072144
Epoch:29	SE:1.1270509958267212
Epoch:30	SE:1.1047271490097046
Epoch:31	SE:1.1124598979949951
Epoch:32	SE:1.105837345123291
Epoch:33	SE:1.1068183183670044
Epoch:34	SE:1.0988779067993164
Epoch:35	SE:1.1096117496490479
Epoch:36	SE:1.1035394668579102
Epoch:37	SE:1.0952357053756714
Epoch:38	SE:1.0987303256988525
Epoch:39	SE:1.1027518510818481
Epoch:40	SE:1.0981425046920776
Epoch:41	SE:1.0904850959777832
Epoch:42	SE:1.0900355577468872
Epoch:43	SE:1.0936321020126343
Epoch:44	SE:1.0815850496292114
Epoch:45	SE:1.0988993644714355
Epoch:46	SE:1.0958799123764038
Epoch:47	SE:1.0856847763061523
Epoch:48	SE:1.0898690223693848
Epoch:49	SE:1.0860872268676758
