Epoch:0	SE:3.2801713943481445
Epoch:1	SE:3.212437629699707
Epoch:2	SE:3.1357240676879883
Epoch:3	SE:3.0236551761627197
Epoch:4	SE:2.6354284286499023
Epoch:5	SE:1.5283913612365723
Epoch:6	SE:1.2634577751159668
Epoch:7	SE:1.2240668535232544
Epoch:8	SE:1.2124618291854858
Epoch:9	SE:1.203442931175232
Epoch:10	SE:1.1889159679412842
Epoch:11	SE:1.1760560274124146
Epoch:12	SE:1.1829547882080078
Epoch:13	SE:1.1611199378967285
Epoch:14	SE:1.1549071073532104
Epoch:15	SE:1.16792893409729
Epoch:16	SE:1.1514700651168823
Epoch:17	SE:1.1504884958267212
Epoch:18	SE:1.156259298324585
Epoch:19	SE:1.1333976984024048
Epoch:20	SE:1.1490259170532227
Epoch:21	SE:1.1360626220703125
Epoch:22	SE:1.1332652568817139
Epoch:23	SE:1.1387025117874146
Epoch:24	SE:1.1332327127456665
Epoch:25	SE:1.1273192167282104
Epoch:26	SE:1.1297725439071655
Epoch:27	SE:1.1250756978988647
Epoch:28	SE:1.126235842704773
Epoch:29	SE:1.1313931941986084
Epoch:30	SE:1.1280161142349243
Epoch:31	SE:1.1237550973892212
Epoch:32	SE:1.1167417764663696
Epoch:33	SE:1.1353652477264404
Epoch:34	SE:1.131740689277649
Epoch:35	SE:1.117578387260437
Epoch:36	SE:1.1201988458633423
Epoch:37	SE:1.1168831586837769
Epoch:38	SE:1.1176203489303589
Epoch:39	SE:1.1214287281036377
Epoch:40	SE:1.1171032190322876
Epoch:41	SE:1.105190396308899
Epoch:42	SE:1.1129450798034668
Epoch:43	SE:1.1216681003570557
Epoch:44	SE:1.1086316108703613
Epoch:45	SE:1.1104942560195923
Epoch:46	SE:1.107964277267456
Epoch:47	SE:1.1168044805526733
Epoch:48	SE:1.1204802989959717
Epoch:49	SE:1.1106185913085938
