Epoch:0	SE:2.525888442993164
Epoch:1	SE:2.443080425262451
Epoch:2	SE:2.3356821537017822
Epoch:3	SE:2.088106632232666
Epoch:4	SE:1.351832389831543
Epoch:5	SE:1.1562235355377197
Epoch:6	SE:1.148468255996704
Epoch:7	SE:1.1390684843063354
Epoch:8	SE:1.1357389688491821
Epoch:9	SE:1.1306887865066528
Epoch:10	SE:1.1264020204544067
Epoch:11	SE:1.1220083236694336
Epoch:12	SE:1.1166234016418457
Epoch:13	SE:1.1103928089141846
Epoch:14	SE:1.1062095165252686
Epoch:15	SE:1.1001111268997192
Epoch:16	SE:1.095876693725586
Epoch:17	SE:1.090779185295105
Epoch:18	SE:1.0850751399993896
Epoch:19	SE:1.076614260673523
Epoch:20	SE:1.0689728260040283
Epoch:21	SE:1.0681267976760864
Epoch:22	SE:1.0663106441497803
Epoch:23	SE:1.0643669366836548
Epoch:24	SE:1.0622690916061401
Epoch:25	SE:1.0593922138214111
Epoch:26	SE:1.052320122718811
Epoch:27	SE:1.0516438484191895
Epoch:28	SE:1.0526059865951538
Epoch:29	SE:1.0501761436462402
Epoch:30	SE:1.0490052700042725
Epoch:31	SE:1.0456774234771729
Epoch:32	SE:1.0423166751861572
Epoch:33	SE:1.0363945960998535
Epoch:34	SE:1.0366528034210205
Epoch:35	SE:1.0354845523834229
Epoch:36	SE:1.0285663604736328
Epoch:37	SE:1.0283832550048828
Epoch:38	SE:1.0255517959594727
Epoch:39	SE:1.0239288806915283
Epoch:40	SE:1.0171325206756592
Epoch:41	SE:1.0184268951416016
Epoch:42	SE:1.015784740447998
Epoch:43	SE:1.015142798423767
Epoch:44	SE:1.0153390169143677
Epoch:45	SE:1.0136973857879639
Epoch:46	SE:1.0137022733688354
Epoch:47	SE:1.0122547149658203
Epoch:48	SE:1.0100051164627075
Epoch:49	SE:1.0103027820587158
