Epoch:0	SE:2.971386432647705
Epoch:1	SE:2.2759904861450195
Epoch:2	SE:1.1806011199951172
Epoch:3	SE:1.1571964025497437
Epoch:4	SE:1.1448477506637573
Epoch:5	SE:1.135324239730835
Epoch:6	SE:1.127258062362671
Epoch:7	SE:1.1198780536651611
Epoch:8	SE:1.1127548217773438
Epoch:9	SE:1.105634093284607
Epoch:10	SE:1.0983458757400513
Epoch:11	SE:1.0907667875289917
Epoch:12	SE:1.082790732383728
Epoch:13	SE:1.074320912361145
Epoch:14	SE:1.0652689933776855
Epoch:15	SE:1.0555533170700073
Epoch:16	SE:1.0450552701950073
Epoch:17	SE:1.033689022064209
Epoch:18	SE:1.0213465690612793
Epoch:19	SE:1.0078750848770142
Epoch:20	SE:0.9921982288360596
Epoch:21	SE:0.9872366189956665
Epoch:22	SE:0.9824020862579346
Epoch:23	SE:0.977483868598938
Epoch:24	SE:0.9724560976028442
Epoch:25	SE:0.9673000574111938
Epoch:26	SE:0.9619972109794617
Epoch:27	SE:0.9565285444259644
Epoch:28	SE:0.9508758783340454
Epoch:29	SE:0.9450220465660095
Epoch:30	SE:0.9389480352401733
Epoch:31	SE:0.9326329827308655
Epoch:32	SE:0.9260500073432922
Epoch:33	SE:0.91917884349823
Epoch:34	SE:0.9119967222213745
Epoch:35	SE:0.904488205909729
Epoch:36	SE:0.8966411352157593
Epoch:37	SE:0.8884466290473938
Epoch:38	SE:0.8799163103103638
Epoch:39	SE:0.8710797429084778
Epoch:40	SE:0.8624601364135742
Epoch:41	SE:0.8596893548965454
Epoch:42	SE:0.8569539785385132
Epoch:43	SE:0.8542419075965881
Epoch:44	SE:0.8515433669090271
Epoch:45	SE:0.8488563299179077
Epoch:46	SE:0.8461798429489136
Epoch:47	SE:0.8435141444206238
Epoch:48	SE:0.8408620953559875
Epoch:49	SE:0.8382241129875183
