Epoch:0	SE:2.8589162826538086
Epoch:1	SE:1.9708341360092163
Epoch:2	SE:1.2001433372497559
Epoch:3	SE:1.1770695447921753
Epoch:4	SE:1.1600176095962524
Epoch:5	SE:1.1471437215805054
Epoch:6	SE:1.1367394924163818
Epoch:7	SE:1.127509355545044
Epoch:8	SE:1.1188066005706787
Epoch:9	SE:1.1102349758148193
Epoch:10	SE:1.1014854907989502
Epoch:11	SE:1.092297911643982
Epoch:12	SE:1.082456111907959
Epoch:13	SE:1.0717626810073853
Epoch:14	SE:1.0600253343582153
Epoch:15	SE:1.0470329523086548
Epoch:16	SE:1.032558560371399
Epoch:17	SE:1.016339659690857
Epoch:18	SE:0.9980629086494446
Epoch:19	SE:0.9774120450019836
Epoch:20	SE:0.9541182518005371
Epoch:21	SE:0.9279776811599731
Epoch:22	SE:0.8989049196243286
Epoch:23	SE:0.8668168783187866
Epoch:24	SE:0.8312814235687256
Epoch:25	SE:0.7942883372306824
Epoch:26	SE:0.760610818862915
Epoch:27	SE:0.7309637069702148
Epoch:28	SE:0.7044669389724731
Epoch:29	SE:0.6805400252342224
Epoch:30	SE:0.6586679816246033
Epoch:31	SE:0.6384039521217346
Epoch:32	SE:0.6193411350250244
Epoch:33	SE:0.6012156009674072
Epoch:34	SE:0.5837978720664978
Epoch:35	SE:0.5669068098068237
Epoch:36	SE:0.5504239797592163
Epoch:37	SE:0.5343374013900757
Epoch:38	SE:0.5185614824295044
Epoch:39	SE:0.5031380653381348
Epoch:40	SE:0.4880680441856384
Epoch:41	SE:0.47328677773475647
Epoch:42	SE:0.45879799127578735
Epoch:43	SE:0.4445602297782898
Epoch:44	SE:0.4305695593357086
Epoch:45	SE:0.4168338179588318
Epoch:46	SE:0.4033089578151703
Epoch:47	SE:0.3899762034416199
Epoch:48	SE:0.3768325746059418
Epoch:49	SE:0.36392393708229065
