Epoch:0	SE:3.147447347640991
Epoch:1	SE:3.0414223670959473
Epoch:2	SE:2.829235315322876
Epoch:3	SE:1.9599153995513916
Epoch:4	SE:1.202202558517456
Epoch:5	SE:1.17498779296875
Epoch:6	SE:1.1633654832839966
Epoch:7	SE:1.1541610956192017
Epoch:8	SE:1.1465445756912231
Epoch:9	SE:1.1399725675582886
Epoch:10	SE:1.1340800523757935
Epoch:11	SE:1.1286293268203735
Epoch:12	SE:1.123463749885559
Epoch:13	SE:1.118463158607483
Epoch:14	SE:1.1135481595993042
Epoch:15	SE:1.1086547374725342
Epoch:16	SE:1.1037342548370361
Epoch:17	SE:1.0987436771392822
Epoch:18	SE:1.0936471223831177
Epoch:19	SE:1.0884050130844116
Epoch:20	SE:1.0816431045532227
Epoch:21	SE:1.0799721479415894
Epoch:22	SE:1.0782947540283203
Epoch:23	SE:1.0765786170959473
Epoch:24	SE:1.0748318433761597
Epoch:25	SE:1.0730589628219604
Epoch:26	SE:1.0712605714797974
Epoch:27	SE:1.0694384574890137
Epoch:28	SE:1.067590594291687
Epoch:29	SE:1.065718650817871
Epoch:30	SE:1.0638210773468018
Epoch:31	SE:1.0618984699249268
Epoch:32	SE:1.0599499940872192
Epoch:33	SE:1.0579755306243896
Epoch:34	SE:1.0559751987457275
Epoch:35	SE:1.0539486408233643
Epoch:36	SE:1.0518959760665894
Epoch:37	SE:1.0498156547546387
Epoch:38	SE:1.047709345817566
Epoch:39	SE:1.0455760955810547
Epoch:40	SE:1.04308021068573
Epoch:41	SE:1.0424259901046753
Epoch:42	SE:1.0417728424072266
Epoch:43	SE:1.0411187410354614
Epoch:44	SE:1.0404635667800903
Epoch:45	SE:1.0398069620132446
Epoch:46	SE:1.0391490459442139
Epoch:47	SE:1.0384896993637085
Epoch:48	SE:1.0378285646438599
Epoch:49	SE:1.037166714668274
