Epoch:0	SE:2.753920078277588
Epoch:1	SE:2.694866895675659
Epoch:2	SE:2.629472017288208
Epoch:3	SE:2.544116735458374
Epoch:4	SE:2.373142957687378
Epoch:5	SE:1.7007237672805786
Epoch:6	SE:1.263980507850647
Epoch:7	SE:1.2266937494277954
Epoch:8	SE:1.2221262454986572
Epoch:9	SE:1.205154299736023
Epoch:10	SE:1.1989561319351196
Epoch:11	SE:1.181618332862854
Epoch:12	SE:1.1753288507461548
Epoch:13	SE:1.153220534324646
Epoch:14	SE:1.152389407157898
Epoch:15	SE:1.1464648246765137
Epoch:16	SE:1.1599063873291016
Epoch:17	SE:1.1348040103912354
Epoch:18	SE:1.1428276300430298
Epoch:19	SE:1.1299749612808228
Epoch:20	SE:1.136066198348999
Epoch:21	SE:1.124269723892212
Epoch:22	SE:1.1178125143051147
Epoch:23	SE:1.1207767724990845
Epoch:24	SE:1.1186500787734985
Epoch:25	SE:1.1179670095443726
Epoch:26	SE:1.1184052228927612
Epoch:27	SE:1.1052547693252563
Epoch:28	SE:1.1215568780899048
Epoch:29	SE:1.1164815425872803
Epoch:30	SE:1.116538166999817
Epoch:31	SE:1.1094319820404053
Epoch:32	SE:1.1202369928359985
Epoch:33	SE:1.1159613132476807
Epoch:34	SE:1.114443063735962
Epoch:35	SE:1.1073014736175537
Epoch:36	SE:1.10165536403656
Epoch:37	SE:1.090851902961731
Epoch:38	SE:1.1040754318237305
Epoch:39	SE:1.097547173500061
Epoch:40	SE:1.1059865951538086
Epoch:41	SE:1.1068785190582275
Epoch:42	SE:1.0991685390472412
Epoch:43	SE:1.0905770063400269
Epoch:44	SE:1.0985950231552124
Epoch:45	SE:1.1010329723358154
Epoch:46	SE:1.0950336456298828
Epoch:47	SE:1.0893033742904663
Epoch:48	SE:1.091180682182312
Epoch:49	SE:1.0970783233642578
