Epoch:0	SE:2.74642276763916
Epoch:1	SE:2.6806631088256836
Epoch:2	SE:2.5800693035125732
Epoch:3	SE:2.3833072185516357
Epoch:4	SE:1.9848923683166504
Epoch:5	SE:1.4894400835037231
Epoch:6	SE:1.2779932022094727
Epoch:7	SE:1.238179326057434
Epoch:8	SE:1.2212858200073242
Epoch:9	SE:1.2073336839675903
Epoch:10	SE:1.1945216655731201
Epoch:11	SE:1.1825594902038574
Epoch:12	SE:1.1714295148849487
Epoch:13	SE:1.1612075567245483
Epoch:14	SE:1.1519874334335327
Epoch:15	SE:1.1438077688217163
Epoch:16	SE:1.1365989446640015
Epoch:17	SE:1.1302052736282349
Epoch:18	SE:1.1244386434555054
Epoch:19	SE:1.1191209554672241
Epoch:20	SE:1.1137385368347168
Epoch:21	SE:1.1122735738754272
Epoch:22	SE:1.110818862915039
Epoch:23	SE:1.109368085861206
Epoch:24	SE:1.107919454574585
Epoch:25	SE:1.1064715385437012
Epoch:26	SE:1.1050246953964233
Epoch:27	SE:1.103577971458435
Epoch:28	SE:1.1021302938461304
Epoch:29	SE:1.1006815433502197
Epoch:30	SE:1.099230408668518
Epoch:31	SE:1.0977758169174194
Epoch:32	SE:1.0963177680969238
Epoch:33	SE:1.0948545932769775
Epoch:34	SE:1.0933855772018433
Epoch:35	SE:1.091910481452942
Epoch:36	SE:1.0904273986816406
Epoch:37	SE:1.08893620967865
Epoch:38	SE:1.0874361991882324
Epoch:39	SE:1.0859262943267822
Epoch:40	SE:1.0842654705047607
Epoch:41	SE:1.083808422088623
Epoch:42	SE:1.0833503007888794
Epoch:43	SE:1.082890510559082
Epoch:44	SE:1.082430362701416
Epoch:45	SE:1.0819690227508545
Epoch:46	SE:1.0815072059631348
Epoch:47	SE:1.08104407787323
Epoch:48	SE:1.080580234527588
Epoch:49	SE:1.0801154375076294
