Epoch:0	SE:2.550560474395752
Epoch:1	SE:2.443629264831543
Epoch:2	SE:2.232445240020752
Epoch:3	SE:1.7289679050445557
Epoch:4	SE:1.2630780935287476
Epoch:5	SE:1.2031925916671753
Epoch:6	SE:1.1901469230651855
Epoch:7	SE:1.1795411109924316
Epoch:8	SE:1.1705487966537476
Epoch:9	SE:1.1629292964935303
Epoch:10	SE:1.1565120220184326
Epoch:11	SE:1.1511226892471313
Epoch:12	SE:1.1465801000595093
Epoch:13	SE:1.1427146196365356
Epoch:14	SE:1.1393812894821167
Epoch:15	SE:1.1364586353302002
Epoch:16	SE:1.1338516473770142
Epoch:17	SE:1.1314873695373535
Epoch:18	SE:1.1293023824691772
Epoch:19	SE:1.1272495985031128
Epoch:20	SE:1.1242655515670776
Epoch:21	SE:1.1236753463745117
Epoch:22	SE:1.1231049299240112
Epoch:23	SE:1.122532844543457
Epoch:24	SE:1.1219573020935059
