Epoch:0	SE:2.33469557762146
Epoch:1	SE:2.2650163173675537
Epoch:2	SE:2.1536619663238525
Epoch:3	SE:1.8095486164093018
Epoch:4	SE:1.2336922883987427
Epoch:5	SE:1.176090121269226
Epoch:6	SE:1.162821888923645
Epoch:7	SE:1.151877522468567
Epoch:8	SE:1.142797827720642
Epoch:9	SE:1.1350955963134766
Epoch:10	SE:1.128317952156067
Epoch:11	SE:1.1221082210540771
Epoch:12	SE:1.116214632987976
Epoch:13	SE:1.1104516983032227
Epoch:14	SE:1.10469388961792
Epoch:15	SE:1.0988472700119019
Epoch:16	SE:1.0928422212600708
Epoch:17	SE:1.0866281986236572
Epoch:18	SE:1.0801600217819214
Epoch:19	SE:1.0734035968780518
Epoch:20	SE:1.0655735731124878
Epoch:21	SE:1.06337308883667
Epoch:22	SE:1.0611604452133179
Epoch:23	SE:1.058908224105835
Epoch:24	SE:1.0566210746765137
Epoch:25	SE:1.0543019771575928
Epoch:26	SE:1.0519497394561768
Epoch:27	SE:1.0495648384094238
Epoch:28	SE:1.0471460819244385
Epoch:29	SE:1.0446937084197998
