Epoch:0	SE:2.384182929992676
Epoch:1	SE:1.2381850481033325
Epoch:2	SE:1.121819019317627
Epoch:3	SE:1.1003659963607788
Epoch:4	SE:1.0813302993774414
Epoch:5	SE:1.0606459379196167
Epoch:6	SE:1.0354646444320679
Epoch:7	SE:1.001057505607605
Epoch:8	SE:0.9471290111541748
Epoch:9	SE:0.8702198266983032
Epoch:10	SE:0.7987008094787598
Epoch:11	SE:0.7354035377502441
Epoch:12	SE:0.6801247596740723
Epoch:13	SE:0.6300469040870667
Epoch:14	SE:0.582912266254425
Epoch:15	SE:0.536931037902832
Epoch:16	SE:0.49115845561027527
Epoch:17	SE:0.4454094469547272
Epoch:18	SE:0.40059977769851685
Epoch:19	SE:0.35762858390808105
Epoch:20	SE:0.3949032425880432
Epoch:21	SE:0.3885204493999481
Epoch:22	SE:0.3692316710948944
Epoch:23	SE:0.34405672550201416
Epoch:24	SE:0.31738919019699097
Epoch:25	SE:0.29891565442085266
Epoch:26	SE:0.28649187088012695
Epoch:27	SE:0.27709734439849854
Epoch:28	SE:0.26933446526527405
Epoch:29	SE:0.26297876238822937
