Epoch:0	SE:2.279459238052368
Epoch:1	SE:1.3324629068374634
Epoch:2	SE:1.0953271389007568
Epoch:3	SE:1.044221043586731
Epoch:4	SE:1.022444725036621
Epoch:5	SE:1.0088356733322144
Epoch:6	SE:0.9986778497695923
Epoch:7	SE:0.9902729392051697
Epoch:8	SE:0.9828435778617859
Epoch:9	SE:0.9759876132011414
Epoch:10	SE:0.9694837927818298
Epoch:11	SE:0.9632002115249634
Epoch:12	SE:0.9570484161376953
Epoch:13	SE:0.9509738087654114
Epoch:14	SE:0.9449440836906433
Epoch:15	SE:0.9389384388923645
Epoch:16	SE:0.932940661907196
Epoch:17	SE:0.9269432425498962
Epoch:18	SE:0.9209361672401428
Epoch:19	SE:0.9149178266525269
Epoch:20	SE:0.9088937044143677
Epoch:21	SE:0.9028694033622742
Epoch:22	SE:0.8968496918678284
Epoch:23	SE:0.8908425569534302
Epoch:24	SE:0.8848603963851929
Epoch:25	SE:0.8789117336273193
Epoch:26	SE:0.8730066418647766
Epoch:27	SE:0.8671543598175049
Epoch:28	SE:0.8613635301589966
Epoch:29	SE:0.8556459546089172
Epoch:30	SE:0.85001140832901
Epoch:31	SE:0.8444685935974121
Epoch:32	SE:0.8390263915061951
Epoch:33	SE:0.8336886763572693
Epoch:34	SE:0.8284576535224915
Epoch:35	SE:0.823339581489563
Epoch:36	SE:0.8183367252349854
Epoch:37	SE:0.8134487867355347
Epoch:38	SE:0.8086778521537781
Epoch:39	SE:0.804015040397644
Epoch:40	SE:0.799464762210846
Epoch:41	SE:0.7950236797332764
Epoch:42	SE:0.790688157081604
Epoch:43	SE:0.7864533066749573
Epoch:44	SE:0.782320499420166
Epoch:45	SE:0.7782866358757019
Epoch:46	SE:0.7743517756462097
Epoch:47	SE:0.7705114483833313
Epoch:48	SE:0.7667660713195801
Epoch:49	SE:0.7631099224090576
