Epoch:0	SE:2.3156545162200928
Epoch:1	SE:1.2816929817199707
Epoch:2	SE:1.226933479309082
Epoch:3	SE:1.1764531135559082
Epoch:4	SE:1.1128679513931274
Epoch:5	SE:1.032427191734314
Epoch:6	SE:0.9408621191978455
Epoch:7	SE:0.8515076637268066
Epoch:8	SE:0.7721373438835144
Epoch:9	SE:0.6986278891563416
Epoch:10	SE:0.6261310577392578
Epoch:11	SE:0.5553772449493408
Epoch:12	SE:0.48943251371383667
Epoch:13	SE:0.42979151010513306
Epoch:14	SE:0.3767569661140442
Epoch:15	SE:0.3294263482093811
Epoch:16	SE:0.28896933794021606
Epoch:17	SE:0.2580294609069824
Epoch:18	SE:0.2467927783727646
Epoch:19	SE:0.35995709896087646
Epoch:20	SE:0.35789960622787476
Epoch:21	SE:0.2956605553627014
Epoch:22	SE:0.24708572030067444
Epoch:23	SE:0.2180788815021515
Epoch:24	SE:0.20184630155563354
Epoch:25	SE:0.19000022113323212
Epoch:26	SE:0.1807912290096283
Epoch:27	SE:0.17333903908729553
Epoch:28	SE:0.1670403927564621
Epoch:29	SE:0.16152188181877136
