Epoch:0	SE:1.1655007600784302
Epoch:1	SE:0.87249356508255
Epoch:2	SE:0.6925365924835205
Epoch:3	SE:0.6095262169837952
Epoch:4	SE:0.5773453116416931
Epoch:5	SE:0.5648026466369629
Epoch:6	SE:0.558941662311554
Epoch:7	SE:0.55526202917099
Epoch:8	SE:0.5523001551628113
Epoch:9	SE:0.5496037006378174
Epoch:10	SE:0.5470401048660278
Epoch:11	SE:0.5445722341537476
Epoch:12	SE:0.5421903729438782
Epoch:13	SE:0.5398918390274048
Epoch:14	SE:0.5376729965209961
Epoch:15	SE:0.5355303287506104
Epoch:16	SE:0.5334624648094177
Epoch:17	SE:0.5314655900001526
Epoch:18	SE:0.5295357704162598
Epoch:19	SE:0.5276711583137512
Epoch:20	SE:0.5258666276931763
Epoch:21	SE:0.524120569229126
Epoch:22	SE:0.5224299430847168
Epoch:23	SE:0.5207921266555786
Epoch:24	SE:0.5192062258720398
Epoch:25	SE:0.5176697969436646
Epoch:26	SE:0.5161802172660828
Epoch:27	SE:0.5147377848625183
Epoch:28	SE:0.513340175151825
Epoch:29	SE:0.5119858980178833
Epoch:30	SE:0.5106742978096008
Epoch:31	SE:0.5094037652015686
Epoch:32	SE:0.5081725716590881
Epoch:33	SE:0.5069806575775146
Epoch:34	SE:0.505825936794281
Epoch:35	SE:0.5047083497047424
Epoch:36	SE:0.5036253333091736
Epoch:37	SE:0.5025782585144043
Epoch:38	SE:0.5015639662742615
Epoch:39	SE:0.5005824565887451
Epoch:40	SE:0.49963247776031494
Epoch:41	SE:0.49871283769607544
Epoch:42	SE:0.497823029756546
Epoch:43	SE:0.496961772441864
Epoch:44	SE:0.4961279332637787
Epoch:45	SE:0.49531981348991394
Epoch:46	SE:0.49453771114349365
Epoch:47	SE:0.4937804639339447
Epoch:48	SE:0.49304625391960144
Epoch:49	SE:0.49233466386795044
