Epoch:0	SE:0.9768922328948975
Epoch:1	SE:0.7362961173057556
Epoch:2	SE:0.5943764448165894
Epoch:3	SE:0.5326886773109436
Epoch:4	SE:0.5091803073883057
Epoch:5	SE:0.49898025393486023
Epoch:6	SE:0.4929945766925812
Epoch:7	SE:0.4883647859096527
Epoch:8	SE:0.48423445224761963
Epoch:9	SE:0.4803561866283417
Epoch:10	SE:0.47666072845458984
Epoch:11	SE:0.47312647104263306
Epoch:12	SE:0.4697422981262207
Epoch:13	SE:0.46649864315986633
Epoch:14	SE:0.4633857011795044
Epoch:15	SE:0.46039533615112305
Epoch:16	SE:0.45752084255218506
Epoch:17	SE:0.454755961894989
Epoch:18	SE:0.45209574699401855
Epoch:19	SE:0.44953617453575134
Epoch:20	SE:0.4470744729042053
Epoch:21	SE:0.44470730423927307
Epoch:22	SE:0.44243335723876953
Epoch:23	SE:0.4402519762516022
Epoch:24	SE:0.4381614923477173
Epoch:25	SE:0.43616199493408203
Epoch:26	SE:0.4342517554759979
Epoch:27	SE:0.43243032693862915
Epoch:28	SE:0.4306967854499817
Epoch:29	SE:0.42904818058013916
Epoch:30	SE:0.427482932806015
Epoch:31	SE:0.42599788308143616
Epoch:32	SE:0.4245898127555847
Epoch:33	SE:0.42325466871261597
Epoch:34	SE:0.4219890236854553
Epoch:35	SE:0.4207877218723297
Epoch:36	SE:0.419647216796875
Epoch:37	SE:0.41856294870376587
Epoch:38	SE:0.4175306260585785
Epoch:39	SE:0.4165463447570801
Epoch:40	SE:0.41560664772987366
Epoch:41	SE:0.4147074222564697
Epoch:42	SE:0.4138457775115967
Epoch:43	SE:0.41301870346069336
Epoch:44	SE:0.4122225344181061
Epoch:45	SE:0.4114556908607483
Epoch:46	SE:0.4107156991958618
Epoch:47	SE:0.4099995493888855
Epoch:48	SE:0.4093063175678253
Epoch:49	SE:0.40863436460494995
