Epoch:0	SE:1.4219369888305664
Epoch:1	SE:1.3512837886810303
Epoch:2	SE:1.2846872806549072
Epoch:3	SE:1.2215112447738647
Epoch:4	SE:1.1612980365753174
Epoch:5	SE:1.1037567853927612
Epoch:6	SE:1.048744559288025
Epoch:7	SE:0.9962289929389954
Epoch:8	SE:0.9462443590164185
Epoch:9	SE:0.8988736271858215
Epoch:10	SE:0.8542206883430481
Epoch:11	SE:0.8124033212661743
Epoch:12	SE:0.7735326290130615
Epoch:13	SE:0.7376991510391235
Epoch:14	SE:0.7049697041511536
Epoch:15	SE:0.6753737926483154
Epoch:16	SE:0.6488864421844482
Epoch:17	SE:0.6254192590713501
Epoch:18	SE:0.6048272252082825
Epoch:19	SE:0.5869183540344238
Epoch:20	SE:0.5714686512947083
Epoch:21	SE:0.558232843875885
Epoch:22	SE:0.5469580888748169
Epoch:23	SE:0.5373947024345398
Epoch:24	SE:0.5293035507202148
Epoch:25	SE:0.5224634408950806
Epoch:26	SE:0.5166739225387573
Epoch:27	SE:0.5117576718330383
Epoch:28	SE:0.5075622797012329
Epoch:29	SE:0.5039570331573486
Epoch:30	SE:0.5008319020271301
Epoch:31	SE:0.4980963468551636
Epoch:32	SE:0.4956764578819275
Epoch:33	SE:0.4935099184513092
Epoch:34	SE:0.49154797196388245
Epoch:35	SE:0.48975157737731934
Epoch:36	SE:0.48808836936950684
Epoch:37	SE:0.48653292655944824
Epoch:38	SE:0.4850656986236572
Epoch:39	SE:0.4836697578430176
Epoch:40	SE:0.48233354091644287
Epoch:41	SE:0.48104557394981384
Epoch:42	SE:0.4797991216182709
Epoch:43	SE:0.4785878360271454
Epoch:44	SE:0.4774055480957031
Epoch:45	SE:0.47624897956848145
Epoch:46	SE:0.47511550784111023
Epoch:47	SE:0.47400128841400146
Epoch:48	SE:0.47290489077568054
Epoch:49	SE:0.4718248248100281
