Epoch:0	SE:1.1252714395523071
Epoch:1	SE:1.0600409507751465
Epoch:2	SE:0.9988139271736145
Epoch:3	SE:0.9411402940750122
Epoch:4	SE:0.886777400970459
Epoch:5	SE:0.8356372117996216
Epoch:6	SE:0.787743091583252
Epoch:7	SE:0.743172824382782
Epoch:8	SE:0.7020233273506165
Epoch:9	SE:0.6643856167793274
Epoch:10	SE:0.6303136348724365
Epoch:11	SE:0.5997963547706604
Epoch:12	SE:0.5727564096450806
Epoch:13	SE:0.549053966999054
Epoch:14	SE:0.5284915566444397
Epoch:15	SE:0.5108227729797363
Epoch:16	SE:0.4957701861858368
Epoch:17	SE:0.483036607503891
Epoch:18	SE:0.4723239243030548
Epoch:19	SE:0.46334123611450195
Epoch:20	SE:0.455818235874176
Epoch:21	SE:0.4495117962360382
Epoch:22	SE:0.4442058801651001
Epoch:23	SE:0.43971484899520874
Epoch:24	SE:0.43588167428970337
Epoch:25	SE:0.4325767457485199
Epoch:26	SE:0.42969343066215515
Epoch:27	SE:0.42714571952819824
Epoch:28	SE:0.4248639643192291
Epoch:29	SE:0.4227944314479828
Epoch:30	SE:0.42089366912841797
Epoch:31	SE:0.4191276729106903
Epoch:32	SE:0.417470246553421
Epoch:33	SE:0.41590091586112976
Epoch:34	SE:0.41440290212631226
Epoch:35	SE:0.41296446323394775
Epoch:36	SE:0.41157618165016174
Epoch:37	SE:0.4102303087711334
Epoch:38	SE:0.40892043709754944
Epoch:39	SE:0.40764304995536804
Epoch:40	SE:0.40639421343803406
Epoch:41	SE:0.4051703214645386
Epoch:42	SE:0.40397000312805176
Epoch:43	SE:0.40279093384742737
Epoch:44	SE:0.4016319811344147
Epoch:45	SE:0.40049174427986145
Epoch:46	SE:0.39936885237693787
Epoch:47	SE:0.39826324582099915
Epoch:48	SE:0.3971739113330841
Epoch:49	SE:0.3960992097854614
