Epoch:0	SE:2.327373504638672
Epoch:1	SE:1.5541791915893555
Epoch:2	SE:1.230384111404419
Epoch:3	SE:1.1321730613708496
Epoch:4	SE:1.095436930656433
Epoch:5	SE:1.071651816368103
Epoch:6	SE:1.0510653257369995
Epoch:7	SE:1.031803846359253
Epoch:8	SE:1.0133848190307617
Epoch:9	SE:0.9956058263778687
Epoch:10	SE:0.9783586263656616
Epoch:11	SE:0.9615912437438965
Epoch:12	SE:0.9452925324440002
Epoch:13	SE:0.929476261138916
Epoch:14	SE:0.9141706824302673
Epoch:15	SE:0.8994093537330627
Epoch:16	SE:0.885229766368866
Epoch:17	SE:0.8716618418693542
Epoch:18	SE:0.8587314486503601
Epoch:19	SE:0.8464520573616028
Epoch:20	SE:0.8348255157470703
Epoch:21	SE:0.8238403797149658
Epoch:22	SE:0.8134759664535522
Epoch:23	SE:0.8037041425704956
Epoch:24	SE:0.7944956421852112
Epoch:25	SE:0.7858210206031799
Epoch:26	SE:0.7776550650596619
Epoch:27	SE:0.769973874092102
Epoch:28	SE:0.7627573609352112
Epoch:29	SE:0.7559865117073059
Epoch:30	SE:0.7496434450149536
Epoch:31	SE:0.7437112331390381
Epoch:32	SE:0.7381725311279297
Epoch:33	SE:0.7330086827278137
Epoch:34	SE:0.7282000184059143
Epoch:35	SE:0.7237266898155212
Epoch:36	SE:0.7195680737495422
Epoch:37	SE:0.7157028913497925
Epoch:38	SE:0.7121109366416931
Epoch:39	SE:0.7087716460227966
Epoch:40	SE:0.7056658267974854
Epoch:41	SE:0.7027759552001953
Epoch:42	SE:0.700084388256073
Epoch:43	SE:0.6975754499435425
Epoch:44	SE:0.6952337026596069
Epoch:45	SE:0.6930459141731262
Epoch:46	SE:0.6909993290901184
Epoch:47	SE:0.689082145690918
Epoch:48	SE:0.6872832179069519
Epoch:49	SE:0.6855932474136353
