Epoch:0	SE:2.3099465370178223
Epoch:1	SE:1.9011473655700684
Epoch:2	SE:1.5178953409194946
Epoch:3	SE:1.2399269342422485
Epoch:4	SE:1.0993510484695435
Epoch:5	SE:1.0380704402923584
Epoch:6	SE:1.00650954246521
Epoch:7	SE:0.9848780035972595
Epoch:8	SE:0.9670456051826477
Epoch:9	SE:0.951164186000824
Epoch:10	SE:0.936585009098053
Epoch:11	SE:0.9230069518089294
Epoch:12	SE:0.9102491736412048
Epoch:13	SE:0.8981876969337463
Epoch:14	SE:0.8867278695106506
Epoch:15	SE:0.8757991790771484
Epoch:16	SE:0.8653430342674255
Epoch:17	SE:0.8553122878074646
Epoch:18	SE:0.8456704616546631
Epoch:19	SE:0.8363871574401855
Epoch:20	SE:0.8274405002593994
Epoch:21	SE:0.8188139796257019
Epoch:22	SE:0.8104983568191528
Epoch:23	SE:0.8024867177009583
Epoch:24	SE:0.7947776317596436
Epoch:25	SE:0.7873713374137878
Epoch:26	SE:0.7802698612213135
Epoch:27	SE:0.7734761238098145
Epoch:28	SE:0.7669928073883057
Epoch:29	SE:0.7608205676078796
Epoch:30	SE:0.7549593448638916
Epoch:31	SE:0.7494046688079834
Epoch:32	SE:0.7441504001617432
Epoch:33	SE:0.7391863465309143
Epoch:34	SE:0.7344999313354492
Epoch:35	SE:0.7300779819488525
Epoch:36	SE:0.7259047627449036
Epoch:37	SE:0.7219641208648682
Epoch:38	SE:0.7182407975196838
Epoch:39	SE:0.7147190570831299
Epoch:40	SE:0.7113835215568542
Epoch:41	SE:0.7082203030586243
Epoch:42	SE:0.705215334892273
Epoch:43	SE:0.7023568749427795
Epoch:44	SE:0.6996334791183472
Epoch:45	SE:0.6970341205596924
Epoch:46	SE:0.6945499181747437
Epoch:47	SE:0.6921720504760742
Epoch:48	SE:0.6898928880691528
Epoch:49	SE:0.6877056956291199
