word, count
i, 66353
absolutely, 435
love, 5062
these, 13528
the, 68415
ruffles, 11
are, 15638
cute, 1935
little, 3717
shorts, 487
very, 10300
sexy, 512
my, 16541
husband, 764
loves, 788
them, 10868
ordered, 2907
in, 19037
black, 1711
and, 49171
will, 5232
probably, 787
order, 1477
other, 2957
colors, 1712
as, 9436
well, 5504
m, 3968
happy, 1327
with, 11930
this, 18932
purchase, 1065
jeans, 1366
so, 10886
comfortable, 4860
fit, 6607
perfectly, 1061
they, 18008
a, 43133
long, 2457
on, 12983
me, 5287
but, 15388
wear, 7284
wedged, 6
heel, 759
look, 4159
great, 6723
top, 1889
red, 613
it, 36287
s, 9207
fits, 2167
can, 5172
be, 7352
worn, 1159
different, 1200
ways, 67
for, 20985
instance, 11
over, 1685
tube, 42
or, 6023
pair, 2797
ruffled, 5
panties, 194
lingerie, 61
only, 2480
complaint, 185
have, 11510
is, 25990
that, 14272
bit, 2325
costume, 253
like, 8789
than, 4052
think, 1821
wearing, 1984
really, 4422
purse, 359
one, 5509
gold, 514
pretty, 2099
its, 1366
stylish, 327
flower, 51
accent, 49
braided, 20
straps, 680
addition, 156
to, 31283
collection, 155
shirt, 2157
you, 10829
casual, 569
dress, 1632
up, 4861
nice, 4371
of, 19467
slacks, 100
dressy, 165
occasion, 84
definitely, 1120
purchasing, 193
from, 3514
patty, 186
again, 1213
ve, 1935
said, 749
another, 1390
review, 581
amazing, 319
customer, 151
service, 143
which, 2790
big, 2112
plus, 519
brown, 412
coffee, 28
wore, 759
today, 249
an, 3126
off, 1772
shoulder, 282
white, 897
striped, 19
fitted, 166
looked, 689
how, 1559
gives, 274
style, 1279
corset, 73
without, 1189
having, 514
actually, 938
also, 2977
quite, 941
small, 2922
woman, 283
tiny, 289
waist, 942
always, 1082
skeptical, 51
about, 2942
buying, 672
belts, 109
online, 309
size, 7768
get, 3451
worried, 168
wont, 70
right, 1937
too, 5282
loose, 681
was, 9294
didn, 1345
t, 10810
problem, 797
product, 1149
way, 1814
pass, 84
price, 3347
